# Front	Back	Notes	Tags
Can I pay by card?	ბარათით გადახდა შეიძლება?		shopping core
I'll pay in cash.	ნაღდი ფულით გადავიხდი.		shopping
A bag, please.	პარკი, თუ შეიძლება.	A plastic bag; the word also means park.	shopping core
I don't need a bag.	პარკი არ მინდა.		shopping
The receipt, please.	ჩეკი, თუ შეიძლება.	ჩეკი is the receipt; ანგარიში is the restaurant bill.	shopping
Can I try it on?	შეიძლება მოვიზომო?		shopping
Do you have a larger size?	უფრო დიდი ზომა გაქვთ?		shopping
Do you have a smaller size?	უფრო პატარა ზომა გაქვთ?	დიდი = big, პატარა = small.	shopping
Where is the market?	ბაზარი სად არის?	Reusable: [place] + სად არის?	shopping
You hear: კიდევ?	Anything else? / More?	Literally: more/again.	shopping recognition core
You hear: სულ ათი ლარია.	It's ten lari in total.	სულ = in total.	shopping recognition core
You hear: ხურდა გაქვთ?	Do you have change?	ხურდა = small change; they want coins or a smaller note.	shopping recognition
You hear: მხოლოდ ნაღდი ფულით.	Cash only.		shopping recognition core
You hear: არ გვაქვს.	We don't have it.		shopping recognition core
You hear: ბარათით თუ ნაღდით?	By card or in cash?	თუ = or, in a choice question.	shopping recognition core
Read the sign: ღიაა	Open.		shopping recognition
Read the sign: დაკეტილია	Closed.		shopping recognition
A table for two, please.	მაგიდა ორი ადამიანისთვის, თუ შეიძლება.		restaurant core
The menu, please.	მენიუ, თუ შეიძლება.		restaurant core
What do you recommend?	რას მირჩევთ?		restaurant
I would like to order.	შეკვეთა მინდა.		restaurant
This one, please. (pointing at the menu)	ეს, თუ შეიძლება.		restaurant core
Five khinkali, please.	ხუთი ხინკალი, თუ შეიძლება.	After a number the noun stays singular — never ხინკალები.	restaurant core
One khachapuri, please.	ერთი ხაჭაპური, თუ შეიძლება.		restaurant
Water, please.	წყალი, თუ შეიძლება.		restaurant core
Still water, please.	უგაზო წყალი, თუ შეიძლება.	უგაზო = without gas, გაზიანი = with gas.	restaurant core
Sparkling water, please.	გაზიანი წყალი, თუ შეიძლება.		restaurant
One coffee, please.	ერთი ყავა, თუ შეიძლება.		restaurant core
Tea without sugar, please.	ჩაი უშაქროდ, თუ შეიძლება.	უ-…-ოდ = without: უშაქროდ, უმარილოდ.	restaurant
Coffee with milk, please.	ყავა რძით, თუ შეიძლება.	-ით = with/by: რძით, ბარათით, ფეხით.	restaurant
One glass of red wine, please.	ერთი ჭიქა წითელი ღვინო, თუ შეიძლება.	ჭიქა = glass or cup.	restaurant
Without meat, please.	ხორცის გარეშე, თუ შეიძლება.	[noun in -ის] + გარეშე = without.	restaurant core
I'm a vegetarian.	ვეგეტარიანელი ვარ.		restaurant
Does this contain meat?	ამაში ხორცი არის?	Reusable: ამაში [item] არის?	restaurant core
Does this contain walnuts?	ამაში ნიგოზი არის?		restaurant
Without walnuts, please.	ნიგვზის გარეშე, თუ შეიძლება.	ნიგოზი → ნიგვზის before გარეშე.	restaurant
Is it spicy?	ცხარეა?	ცხარე is chili heat; ცხელი is temperature.	restaurant core
Not spicy, please.	ცხარე არ მინდა, თუ შეიძლება.		restaurant core
Salt, please.	მარილი, თუ შეიძლება.		restaurant
It's delicious.	გემრიელია.		restaurant
The bill, please.	ანგარიში, თუ შეიძლება.	ანგარიში is the bill; ჩეკი is the receipt.	restaurant core
Can we pay separately?	ცალ-ცალკე გადახდა შეიძლება?		restaurant
Takeaway, please.	წასაღებად, თუ შეიძლება.		restaurant core
Please pack this to take away.	ეს შემიფუთეთ, თუ შეიძლება.		restaurant
Where is the toilet?	ტუალეტი სად არის?		restaurant core
You hear: აქ მიირთმევთ თუ წაიღებთ?	Eating here or taking it away?	Answer აქ or წასაღებად.	restaurant recognition core
You hear: ინებეთ.	Here you are. / Please take it.		restaurant recognition
You hear: გემრიელად მიირთვით.	Enjoy your meal.	Reply: მადლობა.	restaurant recognition
bread	პური	პური bread, ფური cow — ejective პ vs aspirated ფ.	food core
cheese	ყველი		food core
milk	რძე		food core
egg	კვერცხი		food
butter	კარაქი		food
meat	ხორცი		food core
chicken (meat)	ქათმის ხორცი	Literally: chicken's meat. The bird is ქათამი.	food core
beef	საქონლის ხორცი		food
pork	ღორის ხორცი		food
fish	თევზი		food
potato	კარტოფილი		food
tomato	პომიდორი		food core
cucumber	კიტრი		food core
onion	ხახვი		food
garlic	ნიორი	ნიორი garlic, ნიგოზი walnut.	food
eggplant / aubergine	ბადრიჯანი		food
mushroom	სოკო		food
beans / bean stew	ლობიო	Also the name of the cooked dish.	food core
fruit	ხილი		food core
vegetables	ბოსტნეული		food
apple	ვაშლი		food
banana	ბანანი		food
grapes	ყურძენი		food
watermelon	საზამთრო		food
peach	ატამი		food
walnuts	ნიგოზი	ნიგოზი walnut, თხილი hazelnut, მიწის თხილი peanut.	food core
hazelnuts	თხილი	Not ნიგოზი (walnut).	food
honey	თაფლი		food
sugar	შაქარი		food
salt	მარილი		food
rice	ბრინჯი		food
water	წყალი		food core
coffee	ყავა		food core
tea	ჩაი		food core
juice	წვენი		food
beer	ლუდი		food
wine	ღვინო		food core
red wine	წითელი ღვინო		food
white wine	თეთრი ღვინო	თეთრი also = tetri, 1/100 of a lari.	food
dry wine	მშრალი ღვინო		food
khinkali (dumplings)	ხინკალი		food core
khachapuri (cheese-filled bread)	ხაჭაპური		food core
grilled meat on skewers	მწვადი		food
vegetable-and-walnut appetizer	ფხალი	Contains ground walnuts.	food
churchkhela (nuts in thickened grape juice)	ჩურჩხელა	Nuts inside; the type varies.	food
sour plum sauce	ტყემალი		food
spicy / hot (chili heat)	ცხარე	Chili heat only; temperature is ცხელი.	food core
hot (temperature)	ცხელი	Temperature only; chili heat is ცხარე.	food core
cold	ცივი		food
sweet	ტკბილი		food
sour	მჟავე		food
Where is the bus stop?	ავტობუსის გაჩერება სად არის?		transport core
Where is the metro?	მეტრო სად არის?		transport core
Does this bus go to the center?	ეს ავტობუსი ცენტრში მიდის?	-ში = to/in: ცენტრში, აეროპორტში.	transport core
Which bus goes to the station?	რომელი ავტობუსი მიდის სადგურზე?		transport
Where should I get off?	სად უნდა ჩამოვიდე?		transport core
Please stop here.	აქ გააჩერეთ, თუ შეიძლება.		transport core
I'm getting off here.	აქ ჩავდივარ.		transport
One ticket to Batumi, please.	ერთი ბილეთი ბათუმამდე, თუ შეიძლება.	-მდე = as far as: ბათუმამდე.	transport
How much is the ticket?	ბილეთი რა ღირს?		transport core
When does the train leave?	მატარებელი როდის გადის?		transport
How do I get to the airport?	აეროპორტში როგორ მივიდე?		transport
Please take me to this address.	ამ მისამართზე წამიყვანეთ, თუ შეიძლება.		transport core
How long does it take?	რამდენი დრო სჭირდება?		transport
How do I pay?	როგორ გადავიხადო?		transport core
Where can I buy a travel card?	სამგზავრო ბარათი სად ვიყიდო?		transport
Please show me on the map.	რუკაზე მაჩვენეთ, თუ შეიძლება.	-ზე = on/at: რუკაზე, მისამართზე.	transport core
Is it far?	შორს არის?	შორს = far, ახლოს = near.	transport
Can I walk there?	ფეხით მივალ?	ფეხით = on foot.	transport
You hear: მარჯვნივ.	To the right.	მარჯვნივ right, მარცხნივ left.	transport recognition core
You hear: მარცხნივ.	To the left.	მარცხნივ left, მარჯვნივ right.	transport recognition core
You hear: პირდაპირ.	Straight ahead.		transport recognition core
You hear: შემდეგ გაჩერებაზე.	At the next stop.		transport recognition
You hear: ბოლო გაჩერებაა.	This is the last stop.		transport recognition
Read the sign: შესასვლელი	Entrance.	In. Out is გასასვლელი — one syllable apart.	transport recognition core
Read the sign: გასასვლელი	Exit.	Out. In is შესასვლელი — one syllable apart.	transport recognition core
bus	ავტობუსი		transport
minibus / shared van	მარშრუტკა		transport
train	მატარებელი		transport
ticket	ბილეთი		transport
station	სადგური		transport
street	ქუჩა		transport
address	მისამართი		transport
0	ნული		numbers core
1	ერთი		numbers core
2	ორი	A counted noun stays singular: ორი ლარი, not ლარები.	numbers core
3	სამი		numbers core
4	ოთხი		numbers core
5	ხუთი		numbers core
6	ექვსი		numbers core
7	შვიდი		numbers core
8	რვა		numbers core
9	ცხრა		numbers core
10	ათი		numbers core
11	თერთმეტი	11–19 contract ten + unit + მეტი. Learn the spellings; don't concatenate.	numbers core
12	თორმეტი		numbers core
13	ცამეტი		numbers core
14	თოთხმეტი		numbers core
15	თხუთმეტი		numbers core
16	თექვსმეტი		numbers core
17	ჩვიდმეტი	ჩვიდმეტი with ჩ, although seven is შვიდი with შ.	numbers core
18	თვრამეტი		numbers core
19	ცხრამეტი		numbers core
20	ოცი	21–39: ოცდა + 1–19, written as one word.	numbers core
21	ოცდაერთი		numbers
22	ოცდაორი		numbers
25	ოცდახუთი		numbers
30	ოცდაათი	20 + 10. Georgian counts in twenties, not tens.	numbers core
31	ოცდათერთმეტი		numbers
35	ოცდათხუთმეტი		numbers
39	ოცდაცხრამეტი		numbers
40	ორმოცი	2 × 20. 41–59: ორმოცდა + 1–19.	numbers core
45	ორმოცდახუთი		numbers
50	ორმოცდაათი		numbers core
60	სამოცი	3 × 20.	numbers core
70	სამოცდაათი		numbers core
80	ოთხმოცი	4 × 20.	numbers core
90	ოთხმოცდაათი		numbers core
99	ოთხმოცდაცხრამეტი		numbers
100	ასი	Drops its ი before a remainder: ას ერთი.	numbers core
101	ას ერთი		numbers
150	ას ორმოცდაათი		numbers
200	ორასი		numbers
500	ხუთასი		numbers
1,000	ათასი		numbers
2,000	ორი ათასი		numbers
Two lari and fifty tetri.	ორი ლარი და ორმოცდაათი თეთრი	1 lari = 100 tetri.	numbers core
Five lari.	ხუთი ლარი		numbers core
half a kilo	ნახევარი კილო		numbers
100 grams	ასი გრამი		numbers
one liter	ერთი ლიტრი		numbers
first	პირველი	Irregular. The rest follow მე-…-ე: მეორე, მესამე.	numbers
second	მეორე		numbers
third	მესამე		numbers
person / human being	ადამიანი		basics core
man	კაცი	კაცი man, ქალი woman — ejective კ vs aspirated ქ.	basics core
woman	ქალი	ქალი woman, კაცი man — aspirated ქ vs ejective კ.	basics core
child	ბავშვი	A child in general; შვილი is someone's child.	basics core
boy	ბიჭი		basics
girl	გოგო		basics
friend	მეგობარი		basics
mother	დედა	დედა mother, მამა father — the reverse of English mama/dada.	basics
father	მამა	მამა father, დედა mother — the reverse of English.	basics
I	მე	Usually dropped; the verb already marks the person.	basics
you (polite or plural)	თქვენ	Informal singular: შენ.	basics
this	ეს		basics core
that	ის	Also he/she/it. Georgian marks no gender here.	basics
here	აქ	აქ here, იქ there.	basics core
there	იქ	იქ there, აქ here.	basics
where?	სად?		basics core
when?	როდის?		basics
what?	რა?	Changes form in context: რას მირჩევთ?	basics
how much? / how many?	რამდენი?	For a price the usual chunk is რა ღირს?	basics core
today	დღეს		basics core
tomorrow	ხვალ		basics core
now	ახლა		basics core
later	მერე		basics
minute	წუთი		basics
hour / clock / watch	საათი	One word for hour, clock and watch.	basics
big	დიდი		basics
small	პატარა		basics
good	კარგი	Also used alone to mean okay.	basics
bad	ცუდი		basics
and	და		basics
I want…	მინდა…	წყალი მინდა. Add თუ შეიძლება to soften it.	basics core
I don't want it.	არ მინდა.		basics core
I need help.	დახმარება მჭირდება.	მჭირდება = I need: ექიმი მჭირდება, ტაქსი მჭირდება.	help core
Help me, please.	დამეხმარეთ, თუ შეიძლება.		help core
I'm lost.	დავიკარგე.	დავიკარგე I'm lost; დავკარგე I lost something.	help
Where is the pharmacy?	აფთიაქი სად არის?		help
I need a doctor.	ექიმი მჭირდება.		help
Where is the ATM?	ბანკომატი სად არის?		shopping
The internet isn't working.	ინტერნეტი არ მუშაობს.	არ მუშაობს covers anything broken.	basics
What is the Wi-Fi password?	ვაიფაის პაროლი რა არის?		basics
Did you say fifteen or fifty?	თხუთმეტი თქვით თუ ორმოცდაათი?	თხუთმეტი and ორმოცდაათი are easy to mishear — repeat both back.	clarification expansion core
Please show me the price.	ფასი მაჩვენეთ, თუ შეიძლება.		clarification expansion core
Please write the number down.	ნომერი დამიწერეთ, თუ შეიძლება.	ნომერი is a number label; a price is ფასი.	clarification expansion
I meant this one.	ეს ვიგულისხმე.		clarification expansion
That's not what I ordered.	ეს არ შემიკვეთავს.	Literally: I haven't ordered this.	clarification expansion
One more, please.	კიდევ ერთი, თუ შეიძლება.		clarification expansion core
Only one, please.	მხოლოდ ერთი, თუ შეიძლება.		clarification expansion
The same, please.	იგივე, თუ შეიძლება.		clarification expansion
Can you show me?	შეგიძლიათ მაჩვენოთ?	შეგიძლიათ + verb = can you…	clarification expansion
Is this correct?	ეს სწორია?		clarification expansion
There's a mistake here.	აქ შეცდომაა.		clarification expansion
Please wait for me.	დამელოდეთ, თუ შეიძლება.		clarification expansion
I'm allergic to walnuts.	ნიგოზზე ალერგია მაქვს.	-ზე ალერგია მაქვს: ნიგოზზე, რძეზე.	food expansion core
I'm allergic to peanuts.	მიწის თხილზე ალერგია მაქვს.	მიწის თხილი peanut, თხილი hazelnut, ნიგოზი walnut.	food expansion
I'm allergic to milk.	რძეზე ალერგია მაქვს.		food expansion
Does this contain milk?	ამაში რძე არის?		food expansion
Does this contain eggs?	ამაში კვერცხი არის?		food expansion
Does this contain butter?	ამაში კარაქი არის?		food expansion
Without coriander, please.	ქინძის გარეშე, თუ შეიძლება.	ქინძი → ქინძის before გარეშე.	food expansion
Without meat or meat broth, please.	ხორცისა და ხორცის ბულიონის გარეშე, თუ შეიძლება.		food expansion
I don't eat pork.	ღორის ხორცს არ ვჭამ.		food expansion
Can you make it without cheese?	ყველის გარეშე შეგიძლიათ მოამზადოთ?		food expansion
Is service included in the price?	მომსახურება ფასში შედის?	You'll hear ფასში შედის back.	restaurant expansion
I feel unwell.	ცუდად ვარ.	Literally: I am badly.	help expansion core
It hurts here.	აქ მტკივა.	You may be asked სად გტკივათ?	help expansion core
Please call an ambulance.	სასწრაფო გამოიძახეთ, თუ შეიძლება.	სასწრაფო (literally: urgent) is the ambulance service.	help expansion core
Please call the police.	პოლიცია გამოიძახეთ, თუ შეიძლება.		help expansion
Where is the nearest hospital?	უახლოესი საავადმყოფო სად არის?		help expansion
I lost my phone.	ტელეფონი დავკარგე.	დავკარგე I lost it; დავიკარგე I'm lost.	help expansion
I lost my wallet.	საფულე დავკარგე.		help expansion
May I use your phone?	შეიძლება თქვენი ტელეფონით ვისარგებლო?		help expansion
My phone battery is dead.	ტელეფონი დამიჯდა.	Literally: the phone sat down.	help expansion
What time do you open?	რომელ საათზე იწყებთ მუშაობას?	Literally: at what time do you start work?	time expansion core
Until what time are you open?	რომელ საათამდე მუშაობთ?	-მდე again: საათამდე.	time expansion core
Are you open tomorrow?	ხვალ მუშაობთ?	Georgian asks are you working: მუშაობთ.	time expansion
Can I come tomorrow?	ხვალ შეიძლება მოვიდე?		time expansion
What time is it?	რომელი საათია?		time expansion
At three o'clock.	სამ საათზე.	სამი → სამ before საათზე.	time expansion
In ten minutes.	ათ წუთში.	ათი → ათ before წუთში.	time expansion
How long should I wait?	რამდენ ხანს უნდა დაველოდო?		time expansion
I'm late.	ვაგვიანებ.		time expansion
Monday	ორშაბათი	Days count from შაბათი: ორ-, სამ-, ოთხ-, ხუთ- + შაბათი. On a day, add -ს: ორშაბათს.	time expansion
Tuesday	სამშაბათი		time expansion
Wednesday	ოთხშაბათი		time expansion
Thursday	ხუთშაბათი		time expansion
Friday	პარასკევი		time expansion
Saturday	შაბათი		time expansion
Sunday	კვირა	კვირა also means week. On Sunday: კვირას.	time expansion
I have a reservation.	ჯავშანი მაქვს.		accommodation expansion core
The key doesn't work.	გასაღები არ მუშაობს.		accommodation expansion
There is no hot water.	ცხელი წყალი არ არის.	[thing] + არ არის = there is no…	accommodation expansion core
There is no electricity.	დენი არ არის.	დენი = electric current.	accommodation expansion
The heating isn't working.	გათბობა არ მუშაობს.		accommodation expansion
The air conditioner isn't working.	კონდიციონერი არ მუშაობს.		accommodation expansion
Can you fix it?	შეგიძლიათ შეაკეთოთ?		accommodation expansion
At what time should I check out?	რომელ საათზე უნდა გავიდე ნომრიდან?	ნომერი means a hotel room here.	accommodation expansion
Can I leave my bag here?	შეიძლება ჩანთა აქ დავტოვო?		accommodation expansion
Where do I put the rubbish?	ნაგავი სად ჩავყარო?		accommodation expansion
Is this the right direction?	ეს სწორი მიმართულებაა?		transport expansion
Does this bus stop there?	ეს ავტობუსი იქ ჩერდება?		transport expansion
Please tell me when we arrive.	როცა მივალთ, მითხარით, თუ შეიძლება.		transport expansion core
I missed my stop.	ჩემს გაჩერებას გავცდი.		transport expansion
Where can I top up my travel card?	სამგზავრო ბარათი სად შევავსო?		transport expansion
Do I need to change buses?	სხვა ავტობუსში უნდა გადავჯდე?	You may hear უნდა გადაჯდეთ.	transport expansion
Is this seat free?	ეს ადგილი თავისუფალია?		transport expansion
Where should I wait?	სად დაველოდო?		transport expansion
What's your name? (polite)	რა გქვიათ?	Informal singular: რა გქვია?	social expansion
Nice to meet you.	სასიამოვნოა თქვენი გაცნობა.		social expansion
Where are you from? (polite)	საიდან ხართ?		social expansion
I live here.	აქ ვცხოვრობ.		social expansion
Have a good day.	კარგ დღეს გისურვებთ.		social expansion
See you tomorrow.	ხვალამდე.	-მდე again: literally until tomorrow.	social expansion
I like Georgia.	საქართველო მომწონს.	საქართველო the country; ქართული the language.	social expansion
I don't drink alcohol.	ალკოჰოლს არ ვსვამ.		boundaries expansion
I don't need help, thank you.	დახმარება არ მჭირდება, მადლობა.		boundaries expansion
Please don't do that.	ასე ნუ აკეთებთ, თუ შეიძლება.	ნუ + verb is the negative command, not არ.	boundaries expansion
Please leave me alone.	თავი დამანებეთ, თუ შეიძლება.		boundaries expansion
Don't touch me.	არ შემეხოთ.		boundaries expansion
You hear: აღარ გვაქვს.	We don't have any left.	აღარ = no longer; the item has run out.	replies recognition expansion core
You hear: ოცი წუთი დასჭირდება.	It will take twenty minutes.		replies recognition expansion core
You hear: უნდა გადაჯდეთ.	You need to transfer.		replies recognition expansion
You hear: გვერდით იკითხეთ.	Ask next door. / Ask at the neighboring place.	გვერდით = next door.	replies recognition expansion
You hear: ფასში შედის.	It's included in the price.		replies recognition expansion
You hear: დამატებით უნდა გადაიხადოთ.	You need to pay extra.		replies recognition expansion core
You hear: დაელოდეთ, თუ შეიძლება.	Please wait.		replies recognition expansion
You hear: თქვენი ჯერია.	It's your turn.		replies recognition expansion
You hear: არ შეიძლება.	It's not allowed. / You can't.		replies recognition expansion core
You hear: სამწუხაროდ, არა.	Unfortunately, no.		replies recognition expansion
You hear: რა თქმა უნდა.	Of course.	Literally: what is there to say.	replies recognition expansion
You hear: პრობლემა არ არის.	No problem.		replies recognition expansion
You hear: ხვალ მოდით.	Come tomorrow.		replies recognition expansion
You hear: სად გტკივათ?	Where does it hurt?	Answer აქ მტკივა and point.	replies recognition expansion
