# Front	Back	Notes	Tags
Сколько это стоит?	ეს რა ღირს?	Показывая пальцем, хватит и რა ღირს?	shopping core
Сколько стоит килограмм?	ერთი კილო რა ღირს?		shopping core
У вас есть хлеб?	პური გაქვთ?	Шаблон: [товар] + გაქვთ?	shopping core
Я хочу вот это.	ეს მინდა.	მინდა здесь не грубо; для мягкости добавьте თუ შეიძლება.	shopping core
Килограмм помидоров, пожалуйста.	ერთი კილო პომიდორი, თუ შეიძლება.		shopping core
Полкило сыра, пожалуйста.	ნახევარი კილო ყველი, თუ შეიძლება.		shopping core
Две штуки, пожалуйста.	ორი ცალი, თუ შეიძლება.	ცალი — штука, при счёте предметов.	shopping core
Чуть больше, пожалуйста.	ცოტა მეტი, თუ შეიძლება.		shopping
Чуть меньше, пожалуйста.	ცოტა ნაკლები, თუ შეიძლება.	მეტი — больше, ნაკლები — меньше.	shopping
Хватит, спасибо.	საკმარისია, მადლობა.		shopping core
Можно попробовать?	შეიძლება გავსინჯო?		shopping
Это свежее?	ახალია?	ახალი — и «новый», и «свежий».	shopping
Это сладкое?	ტკბილია?		shopping
Это дорого.	ძვირია.	-ია — сокращённое არის: ძვირი + არის → ძვირია. Так же ტკბილია, ცხარეა, გემრიელია.	shopping
Можете сбавить цену?	ფასს დამიკლებთ?		shopping
Есть подешевле?	უფრო იაფი გაქვთ?	უფრო + прилагательное = сравнительная степень: უფრო იაფი, უფრო დიდი.	shopping
Можно оплатить картой?	ბარათით გადახდა შეიძლება?		shopping core
Я заплачу наличными.	ნაღდი ფულით გადავიხდი.		shopping
Пакет, пожалуйста.	პარკი, თუ შეიძლება.	Полиэтиленовый пакет; то же слово значит «парк».	shopping core
Пакет не нужен.	პარკი არ მინდა.		shopping
Чек, пожалуйста.	ჩეკი, თუ შეიძლება.	ჩეკი — чек из магазина; счёт в ресторане — ანგარიში.	shopping
Можно примерить?	შეიძლება მოვიზომო?		shopping
Есть размер побольше?	უფრო დიდი ზომა გაქვთ?		shopping
Есть размер поменьше?	უფრო პატარა ზომა გაქვთ?	დიდი — большой, პატარა — маленький.	shopping
Где рынок?	ბაზარი სად არის?	Шаблон: [место] + სად არის?	shopping
Вы слышите: კიდევ?	Что-нибудь ещё? / Ещё?	Буквально: ещё, снова.	shopping recognition core
Вы слышите: სულ ათი ლარია.	Всего десять лари.	სულ — «всего».	shopping recognition core
Вы слышите: ხურდა გაქვთ?	У вас есть мелочь?	ხურდა — мелочь; просят монеты или купюру помельче.	shopping recognition
Вы слышите: მხოლოდ ნაღდი ფულით.	Только наличные.		shopping recognition core
Вы слышите: არ გვაქვს.	У нас этого нет.		shopping recognition core
Вы слышите: ბარათით თუ ნაღდით?	Картой или наличными?	თუ — «или» в вопросе с выбором.	shopping recognition core
Надпись: ღიაა	Открыто.		shopping recognition
Надпись: დაკეტილია	Закрыто.		shopping recognition
Столик на двоих, пожалуйста.	მაგიდა ორი ადამიანისთვის, თუ შეიძლება.		restaurant core
Меню, пожалуйста.	მენიუ, თუ შეიძლება.		restaurant core
Что вы посоветуете?	რას მირჩევთ?		restaurant
Я хочу заказать.	შეკვეთა მინდა.		restaurant
Вот это, пожалуйста. (показывая в меню)	ეს, თუ შეიძლება.		restaurant core
Пять хинкали, пожалуйста.	ხუთი ხინკალი, თუ შეიძლება.	После числа существительное остаётся в единственном числе — никогда не ხინკალები.	restaurant core
Один хачапури, пожалуйста.	ერთი ხაჭაპური, თუ შეიძლება.		restaurant
Воды, пожалуйста.	წყალი, თუ შეიძლება.		restaurant core
Воду без газа, пожалуйста.	უგაზო წყალი, თუ შეიძლება.	უგაზო — без газа, გაზიანი — с газом.	restaurant core
Воду с газом, пожалуйста.	გაზიანი წყალი, თუ შეიძლება.		restaurant
Один кофе, пожалуйста.	ერთი ყავა, თუ შეიძლება.		restaurant core
Чай без сахара, пожалуйста.	ჩაი უშაქროდ, თუ შეიძლება.	უ-…-ოდ = «без»: უშაქროდ, უმარილოდ.	restaurant
Кофе с молоком, пожалуйста.	ყავა რძით, თუ შეიძლება.	-ით — «с, чем»: რძით, ბარათით, ფეხით.	restaurant
Бокал красного вина, пожалуйста.	ერთი ჭიქა წითელი ღვინო, თუ შეიძლება.	ჭიქა — и бокал, и чашка.	restaurant
Без мяса, пожалуйста.	ხორცის გარეშე, თუ შეიძლება.	[слово на -ის] + გარეშე = «без».	restaurant core
Я вегетарианец / вегетарианка.	ვეგეტარიანელი ვარ.		restaurant
В этом есть мясо?	ამაში ხორცი არის?	Шаблон: ამაში [продукт] არის?	restaurant core
В этом есть грецкие орехи?	ამაში ნიგოზი არის?		restaurant
Без грецких орехов, пожалуйста.	ნიგვზის გარეშე, თუ შეიძლება.	ნიგოზი → ნიგვზის перед გარეშე.	restaurant
Это острое?	ცხარეა?	ცხარე — острый (перец); ცხელი — горячий (температура).	restaurant core
Не острое, пожалуйста.	ცხარე არ მინდა, თუ შეიძლება.		restaurant core
Соль, пожалуйста.	მარილი, თუ შეიძლება.		restaurant
Очень вкусно.	გემრიელია.		restaurant
Счёт, пожалуйста.	ანგარიში, თუ შეიძლება.	ანგარიში — счёт в ресторане; ჩეკი — чек.	restaurant core
Можно заплатить раздельно?	ცალ-ცალკე გადახდა შეიძლება?		restaurant
С собой, пожалуйста.	წასაღებად, თუ შეიძლება.		restaurant core
Заверните это с собой, пожалуйста.	ეს შემიფუთეთ, თუ შეიძლება.		restaurant
Где туалет?	ტუალეტი სად არის?		restaurant core
Вы слышите: აქ მიირთმევთ თუ წაიღებთ?	Здесь будете есть или с собой?	Ответ: აქ или წასაღებად.	restaurant recognition core
Вы слышите: ინებეთ.	Вот, пожалуйста. / Угощайтесь.		restaurant recognition
Вы слышите: გემრიელად მიირთვით.	Приятного аппетита.	Ответ: მადლობა.	restaurant recognition
хлеб	პური	პური — хлеб, ფური — корова: абруптивный პ против придыхательного ფ.	food core
сыр	ყველი		food core
молоко	რძე		food core
яйцо	კვერცხი		food
сливочное масло	კარაქი		food
мясо	ხორცი		food core
курица (мясо)	ქათმის ხორცი	Буквально: мясо курицы. Сама птица — ქათამი.	food core
говядина	საქონლის ხორცი		food
свинина	ღორის ხორცი		food
рыба	თევზი		food
картофель	კარტოფილი		food
помидор	პომიდორი		food core
огурец	კიტრი		food core
лук	ხახვი		food
чеснок	ნიორი	ნიორი — чеснок, ნიგოზი — грецкий орех.	food
баклажан	ბადრიჯანი		food
гриб	სოკო		food
фасоль / лобио	ლობიო	Так называется и готовое блюдо.	food core
фрукты	ხილი		food core
овощи	ბოსტნეული		food
яблоко	ვაშლი		food
банан	ბანანი		food
виноград	ყურძენი		food
арбуз	საზამთრო		food
персик	ატამი		food
грецкие орехи	ნიგოზი	ნიგოზი — грецкий орех, თხილი — фундук, მიწის თხილი — арахис.	food core
фундук	თხილი	Не ნიგოზი (грецкий орех).	food
мёд	თაფლი		food
сахар	შაქარი		food
соль	მარილი		food
рис	ბრინჯი		food
вода	წყალი		food core
кофе	ყავა		food core
чай	ჩაი		food core
сок	წვენი		food
пиво	ლუდი		food
вино	ღვინო		food core
красное вино	წითელი ღვინო		food
белое вино	თეთრი ღვინო	თეთრი — это ещё и тетри, 1/100 лари.	food
сухое вино	მშრალი ღვინო		food
хинкали	ხინკალი		food core
хачапури	ხაჭაპური		food core
шашлык	მწვადი		food
пхали (овощная закуска с орехами)	ფხალი	В составе молотые грецкие орехи.	food
чурчхела	ჩურჩხელა	Внутри орехи; какие — зависит от вида.	food
ткемали (соус из кислой сливы)	ტყემალი		food
острый (о вкусе)	ცხარე	Только об остроте; горячий — ცხელი.	food core
горячий	ცხელი	Только о температуре; острый — ცხარე.	food core
холодный	ცივი		food
сладкий	ტკბილი		food
кислый	მჟავე		food
Где автобусная остановка?	ავტობუსის გაჩერება სად არის?		transport core
Где метро?	მეტრო სად არის?		transport core
Этот автобус идёт в центр?	ეს ავტობუსი ცენტრში მიდის?	-ში — «в»: ცენტრში, აეროპორტში.	transport core
Какой автобус идёт до вокзала?	რომელი ავტობუსი მიდის სადგურზე?		transport
Где мне выходить?	სად უნდა ჩამოვიდე?		transport core
Остановите здесь, пожалуйста.	აქ გააჩერეთ, თუ შეიძლება.		transport core
Я здесь выхожу.	აქ ჩავდივარ.		transport
Один билет до Батуми, пожалуйста.	ერთი ბილეთი ბათუმამდე, თუ შეიძლება.	-მდე — «до»: ბათუმამდე.	transport
Сколько стоит билет?	ბილეთი რა ღირს?		transport core
Когда отправляется поезд?	მატარებელი როდის გადის?		transport
Как добраться до аэропорта?	აეროპორტში როგორ მივიდე?		transport
Отвезите меня по этому адресу, пожалуйста.	ამ მისამართზე წამიყვანეთ, თუ შეიძლება.		transport core
Сколько времени это займёт?	რამდენი დრო სჭირდება?		transport
Как оплатить?	როგორ გადავიხადო?		transport core
Где купить проездную карту?	სამგზავრო ბარათი სად ვიყიდო?		transport
Покажите на карте, пожалуйста.	რუკაზე მაჩვენეთ, თუ შეიძლება.	-ზე — «на, по»: რუკაზე, მისამართზე.	transport core
Это далеко?	შორს არის?	შორს — далеко, ახლოს — близко.	transport
Туда можно дойти пешком?	ფეხით მივალ?	ფეხით — пешком.	transport
Вы слышите: მარჯვნივ.	Направо.	მარჯვნივ — направо, მარცხნივ — налево.	transport recognition core
Вы слышите: მარცხნივ.	Налево.	მარცხნივ — налево, მარჯვნივ — направо.	transport recognition core
Вы слышите: პირდაპირ.	Прямо.		transport recognition core
Вы слышите: შემდეგ გაჩერებაზე.	На следующей остановке.		transport recognition
Вы слышите: ბოლო გაჩერებაა.	Это конечная остановка.		transport recognition
Надпись: შესასვლელი	Вход.	Выход — გასასვლელი: разница в одном слоге.	transport recognition core
Надпись: გასასვლელი	Выход.	Вход — შესასვლელი: разница в одном слоге.	transport recognition core
автобус	ავტობუსი		transport
маршрутка	მარშრუტკა		transport
поезд	მატარებელი		transport
билет	ბილეთი		transport
вокзал / станция	სადგური		transport
улица	ქუჩა		transport
адрес	მისამართი		transport
0	ნული		numbers core
1	ერთი		numbers core
2	ორი	После числа существительное — в единственном числе: ორი ლარი, а не ლარები.	numbers core
3	სამი		numbers core
4	ოთხი		numbers core
5	ხუთი		numbers core
6	ექვსი		numbers core
7	შვიდი		numbers core
8	რვა		numbers core
9	ცხრა		numbers core
10	ათი		numbers core
11	თერთმეტი	11–19: сокращённое «десять» + единица + მეტი, как наше «-надцать». Запоминайте написание, не складывайте сами.	numbers core
12	თორმეტი		numbers core
13	ცამეტი		numbers core
14	თოთხმეტი		numbers core
15	თხუთმეტი		numbers core
16	თექვსმეტი		numbers core
17	ჩვიდმეტი	ჩვიდმეტი — с ჩ, хотя семь — შვიდი с შ.	numbers core
18	თვრამეტი		numbers core
19	ცხრამეტი		numbers core
20	ოცი	21–39: ოცდა + 1–19, пишется слитно.	numbers core
21	ოცდაერთი		numbers
22	ოცდაორი		numbers
25	ოცდახუთი		numbers
30	ოცდაათი	20 + 10. Грузинский считает двадцатками, а не десятками.	numbers core
31	ოცდათერთმეტი		numbers
35	ოცდათხუთმეტი		numbers
39	ოცდაცხრამეტი		numbers
40	ორმოცი	2 × 20. 41–59: ორმოცდა + 1–19.	numbers core
45	ორმოცდახუთი		numbers
50	ორმოცდაათი		numbers core
60	სამოცი	3 × 20.	numbers core
70	სამოცდაათი		numbers core
80	ოთხმოცი	4 × 20.	numbers core
90	ოთხმოცდაათი		numbers core
99	ოთხმოცდაცხრამეტი		numbers
100	ასი	Перед остатком теряет ი: ას ერთი.	numbers core
101	ას ერთი		numbers
150	ას ორმოცდაათი		numbers
200	ორასი		numbers
500	ხუთასი		numbers
1000	ათასი		numbers
2000	ორი ათასი		numbers
Два лари пятьдесят тетри.	ორი ლარი და ორმოცდაათი თეთრი	1 лари = 100 тетри.	numbers core
Пять лари.	ხუთი ლარი		numbers core
полкило	ნახევარი კილო		numbers
100 граммов	ასი გრამი		numbers
один литр	ერთი ლიტრი		numbers
первый	პირველი	Исключение. Остальные по схеме მე-…-ე: მეორე, მესამე.	numbers
второй	მეორე		numbers
третий	მესამე		numbers
человек	ადამიანი		basics core
мужчина	კაცი	კაცი — мужчина, ქალი — женщина: абруптивный კ против придыхательного ქ.	basics core
женщина	ქალი	ქალი — женщина, კაცი — мужчина: придыхательный ქ против абруптивного კ.	basics core
ребёнок	ბავშვი	Ребёнок вообще; შვილი — чей-то сын или дочь.	basics core
мальчик	ბიჭი		basics
девочка	გოგო		basics
друг / подруга	მეგობარი		basics
мама	დედა	დედა — мама, მამა — папа. Не путайте с русским «мама».	basics
папа	მამა	მამა — папа, დედა — мама. Не путайте с русским «мама».	basics
я	მე	Обычно опускается: лицо видно по глаголу.	basics
вы (вежливо или мн. ч.)	თქვენ	На «ты»: შენ.	basics
это	ეს		basics core
то / он / она	ის	Рода в грузинском нет: ის — и «то», и «он», и «она».	basics
здесь	აქ	აქ — здесь, იქ — там.	basics core
там	იქ	იქ — там, აქ — здесь.	basics
где?	სად?		basics core
когда?	როდის?		basics
что?	რა?	Меняет форму в предложении: რას მირჩევთ?	basics
сколько?	რამდენი?	О цене обычно спрашивают რა ღირს?	basics core
сегодня	დღეს		basics core
завтра	ხვალ		basics core
сейчас	ახლა		basics core
потом	მერე		basics
минута	წუთი		basics
час / часы	საათი	Одно слово и для «час», и для «часы».	basics
большой	დიდი		basics
маленький	პატარა		basics
хороший	კარგი	Отдельно значит «ладно».	basics
плохой	ცუდი		basics
и	და		basics
Я хочу…	მინდა…	წყალი მინდა. Для мягкости добавьте თუ შეიძლება.	basics core
Не хочу.	არ მინდა.		basics core
Мне нужна помощь.	დახმარება მჭირდება.	მჭირდება — «мне нужен»: ექიმი მჭირდება, ტაქსი მჭირდება.	help core
Помогите мне, пожалуйста.	დამეხმარეთ, თუ შეიძლება.		help core
Я заблудился / заблудилась.	დავიკარგე.	დავიკარგე — я заблудился; დავკარგე — я что-то потерял.	help
Где аптека?	აფთიაქი სად არის?		help
Мне нужен врач.	ექიმი მჭირდება.		help
Где банкомат?	ბანკომატი სად არის?		shopping
Интернет не работает.	ინტერნეტი არ მუშაობს.	არ მუშაობს — о чём угодно сломанном.	basics
Какой пароль от вайфая?	ვაიფაის პაროლი რა არის?		basics
Вы сказали пятнадцать или пятьдесят?	თხუთმეტი თქვით თუ ორმოცდაათი?	Не расслышали число — переспросите, назвав оба варианта.	clarification expansion core
Покажите цену, пожалуйста.	ფასი მაჩვენეთ, თუ შეიძლება.		clarification expansion core
Напишите номер, пожалуйста.	ნომერი დამიწერეთ, თუ შეიძლება.	ნომერი — номер (телефона, комнаты); цена — ფასი.	clarification expansion
Я имел(а) в виду вот это.	ეს ვიგულისხმე.		clarification expansion
Я это не заказывал(а).	ეს არ შემიკვეთავს.		clarification expansion
Ещё один, пожалуйста.	კიდევ ერთი, თუ შეიძლება.		clarification expansion core
Только один, пожалуйста.	მხოლოდ ერთი, თუ შეიძლება.		clarification expansion
То же самое, пожалуйста.	იგივე, თუ შეიძლება.		clarification expansion
Можете показать?	შეგიძლიათ მაჩვენოთ?	შეგიძლიათ + глагол = «можете…»	clarification expansion
Это правильно?	ეს სწორია?		clarification expansion
Здесь ошибка.	აქ შეცდომაა.		clarification expansion
Подождите меня, пожалуйста.	დამელოდეთ, თუ შეიძლება.		clarification expansion
У меня аллергия на грецкие орехи.	ნიგოზზე ალერგია მაქვს.	«Аллергия на…» — [слово + -ზე] ალერგია მაქვს: ნიგოზზე, რძეზე.	food expansion core
У меня аллергия на арахис.	მიწის თხილზე ალერგია მაქვს.	მიწის თხილი — арахис, თხილი — фундук, ნიგოზი — грецкий орех.	food expansion
У меня аллергия на молоко.	რძეზე ალერგია მაქვს.		food expansion
В этом есть молоко?	ამაში რძე არის?		food expansion
В этом есть яйца?	ამაში კვერცხი არის?		food expansion
В этом есть сливочное масло?	ამაში კარაქი არის?		food expansion
Без кинзы, пожалуйста.	ქინძის გარეშე, თუ შეიძლება.	ქინძი → ქინძის перед გარეშე.	food expansion
Без мяса и мясного бульона, пожалуйста.	ხორცისა და ხორცის ბულიონის გარეშე, თუ შეიძლება.		food expansion
Я не ем свинину.	ღორის ხორცს არ ვჭამ.		food expansion
Можете приготовить без сыра?	ყველის გარეშე შეგიძლიათ მოამზადოთ?		food expansion
Обслуживание включено в цену?	მომსახურება ფასში შედის?	В ответ услышите ფასში შედის.	restaurant expansion
Мне плохо.	ცუდად ვარ.	Буквально: я плохо.	help expansion core
Здесь болит.	აქ მტკივა.	Вас могут спросить: სად გტკივათ?	help expansion core
Вызовите скорую, пожалуйста.	სასწრაფო გამოიძახეთ, თუ შეიძლება.	სასწრაფო (буквально «срочная») — скорая помощь.	help expansion core
Вызовите полицию, пожалуйста.	პოლიცია გამოიძახეთ, თუ შეიძლება.		help expansion
Где ближайшая больница?	უახლოესი საავადმყოფო სად არის?		help expansion
Я потерял(а) телефон.	ტელეფონი დავკარგე.	დავკარგე — я потерял; დავიკარგე — я заблудился.	help expansion
Я потерял(а) кошелёк.	საფულე დავკარგე.		help expansion
Можно воспользоваться вашим телефоном?	შეიძლება თქვენი ტელეფონით ვისარგებლო?		help expansion
У меня сел телефон.	ტელეფონი დამიჯდა.	Как и по-русски: телефон «сел».	help expansion
Во сколько вы открываетесь?	რომელ საათზე იწყებთ მუშაობას?	Буквально: во сколько вы начинаете работать?	time expansion core
До скольки вы работаете?	რომელ საათამდე მუშაობთ?	Снова -მდე («до»): საათამდე.	time expansion core
Вы завтра работаете?	ხვალ მუშაობთ?		time expansion
Можно прийти завтра?	ხვალ შეიძლება მოვიდე?		time expansion
Который час?	რომელი საათია?		time expansion
В три часа.	სამ საათზე.	სამი → სამ перед საათზე.	time expansion
Через десять минут.	ათ წუთში.	ათი → ათ перед წუთში.	time expansion
Сколько нужно ждать?	რამდენ ხანს უნდა დაველოდო?		time expansion
Я опаздываю.	ვაგვიანებ.		time expansion
понедельник	ორშაბათი	Дни считаются от შაბათი (суббота): ორ-, სამ-, ოთხ-, ხუთ- + შაბათი. «В понедельник» — с -ს: ორშაბათს.	time expansion
вторник	სამშაბათი		time expansion
среда	ოთხშაბათი		time expansion
четверг	ხუთშაბათი		time expansion
пятница	პარასკევი		time expansion
суббота	შაბათი		time expansion
воскресенье	კვირა	კვირა — это ещё и «неделя». В воскресенье: კვირას.	time expansion
У меня бронь.	ჯავშანი მაქვს.		accommodation expansion core
Ключ не работает.	გასაღები არ მუშაობს.		accommodation expansion
Нет горячей воды.	ცხელი წყალი არ არის.	[что-то] + არ არის = «нет …».	accommodation expansion core
Нет света.	დენი არ არის.	დენი — электрический ток.	accommodation expansion
Отопление не работает.	გათბობა არ მუშაობს.		accommodation expansion
Кондиционер не работает.	კონდიციონერი არ მუშაობს.		accommodation expansion
Можете починить?	შეგიძლიათ შეაკეთოთ?		accommodation expansion
Во сколько нужно освободить номер?	რომელ საათზე უნდა გავიდე ნომრიდან?	ნომერი здесь — номер в гостинице.	accommodation expansion
Можно оставить здесь сумку?	შეიძლება ჩანთა აქ დავტოვო?		accommodation expansion
Куда выбросить мусор?	ნაგავი სად ჩავყარო?		accommodation expansion
Я правильно иду?	ეს სწორი მიმართულებაა?		transport expansion
Этот автобус там останавливается?	ეს ავტობუსი იქ ჩერდება?		transport expansion
Скажите, пожалуйста, когда приедем.	როცა მივალთ, მითხარით, თუ შეიძლება.		transport expansion core
Я проехал(а) свою остановку.	ჩემს გაჩერებას გავცდი.		transport expansion
Где пополнить проездную карту?	სამგზავრო ბარათი სად შევავსო?		transport expansion
Мне нужно пересаживаться на другой автобус?	სხვა ავტობუსში უნდა გადავჯდე?	Можете услышать: უნდა გადაჯდეთ.	transport expansion
Это место свободно?	ეს ადგილი თავისუფალია?		transport expansion
Где мне подождать?	სად დაველოდო?		transport expansion
Как вас зовут?	რა გქვიათ?	На «ты»: რა გქვია?	social expansion
Приятно познакомиться.	სასიამოვნოა თქვენი გაცნობა.		social expansion
Откуда вы?	საიდან ხართ?		social expansion
Я здесь живу.	აქ ვცხოვრობ.		social expansion
Хорошего дня.	კარგ დღეს გისურვებთ.		social expansion
Увидимся завтра.	ხვალამდე.	Снова -მდე: буквально «до завтра».	social expansion
Мне нравится Грузия.	საქართველო მომწონს.	საქართველო — страна; ქართული — язык.	social expansion
Я не пью алкоголь.	ალკოჰოლს არ ვსვამ.		boundaries expansion
Мне не нужна помощь, спасибо.	დახმარება არ მჭირდება, მადლობა.		boundaries expansion
Пожалуйста, не делайте так.	ასე ნუ აკეთებთ, თუ შეიძლება.	Запрет: ნუ + глагол, а не არ.	boundaries expansion
Оставьте меня в покое, пожалуйста.	თავი დამანებეთ, თუ შეიძლება.		boundaries expansion
Не трогайте меня.	არ შემეხოთ.		boundaries expansion
Вы слышите: აღარ გვაქვს.	Этого больше нет.	აღარ — «больше не»: товар закончился.	replies recognition expansion core
Вы слышите: ოცი წუთი დასჭირდება.	Это займёт двадцать минут.		replies recognition expansion core
Вы слышите: უნდა გადაჯდეთ.	Вам нужно пересесть.		replies recognition expansion
Вы слышите: გვერდით იკითხეთ.	Спросите по соседству.	გვერდით — рядом, по соседству.	replies recognition expansion
Вы слышите: ფასში შედის.	Это входит в цену.		replies recognition expansion
Вы слышите: დამატებით უნდა გადაიხადოთ.	Нужно доплатить.		replies recognition expansion core
Вы слышите: დაელოდეთ, თუ შეიძლება.	Подождите, пожалуйста.		replies recognition expansion
Вы слышите: თქვენი ჯერია.	Ваша очередь.		replies recognition expansion
Вы слышите: არ შეიძლება.	Нельзя.		replies recognition expansion core
Вы слышите: სამწუხაროდ, არა.	К сожалению, нет.		replies recognition expansion
Вы слышите: რა თქმა უნდა.	Конечно.	Буквально: что тут говорить.	replies recognition expansion
Вы слышите: პრობლემა არ არის.	Без проблем.		replies recognition expansion
Вы слышите: ხვალ მოდით.	Приходите завтра.		replies recognition expansion
Вы слышите: სად გტკივათ?	Где болит?	Ответ: აქ მტკივა — и покажите где.	replies recognition expansion
