#separator:Tab
#html:true
#tags column:5
#notetype:Грузинский: самое нужное — практика + аудирование
#deck:Грузинский - Самое нужное
#columns:Front	Back	Notes	Audio	Tags
Килограмм помидоров, пожалуйста.	ერთი კილო პომიდორი, თუ შეიძლება.<br>[sound:ge_essentials_practical-485c26a6a2fa2647.wav]			georgian audio shopping core
Полкило сыра, пожалуйста.	ნახევარი კილო ყველი, თუ შეიძლება.<br>[sound:ge_essentials_practical-06d98e1f6a2379c0.wav]			georgian audio shopping core
Две штуки, пожалуйста.	ორი ცალი, თუ შეიძლება.<br>[sound:ge_essentials_practical-36e57ca8b43923b9.wav]	ცალი — штука, при счёте предметов.		georgian audio shopping core
Хватит, спасибо.	საკმარისია, მადლობა.<br>[sound:ge_essentials_practical-1a20e170fb20b9ca.wav]			georgian audio shopping core
Можно оплатить картой?	ბარათით გადახდა შეიძლება?<br>[sound:ge_essentials_practical-e42f2c3b8108d032.wav]			georgian audio shopping core
Пакет, пожалуйста.	პარკი, თუ შეიძლება.<br>[sound:ge_essentials_practical-2de0911818d2d32d.wav]	Полиэтиленовый пакет; то же слово значит «парк».		georgian audio shopping core
Вы слышите: კიდევ?<br>[sound:ge_essentials_practical-bdb0a0d0e47abce1.wav]	Что-нибудь ещё? / Ещё?	Буквально: ещё, снова.		georgian audio shopping recognition core
Вы слышите: სულ ათი ლარია.<br>[sound:ge_essentials_practical-4f2f6a8a35255f0a.wav]	Всего десять лари.	სულ — «всего».		georgian audio shopping recognition core
Вы слышите: მხოლოდ ნაღდი ფულით.<br>[sound:ge_essentials_practical-5bee7810179bd637.wav]	Только наличные.			georgian audio shopping recognition core
Вы слышите: არ გვაქვს.<br>[sound:ge_essentials_practical-d4679e0dc1eb1509.wav]	У нас этого нет.			georgian audio shopping recognition core
Вы слышите: ბარათით თუ ნაღდით?<br>[sound:ge_essentials_practical-9957cba1446789fc.wav]	Картой или наличными?	თუ — «или» в вопросе с выбором.		georgian audio shopping recognition core
Столик на двоих, пожалуйста.	მაგიდა ორი ადამიანისთვის, თუ შეიძლება.<br>[sound:ge_essentials_practical-883332c6590782c2.wav]			georgian audio restaurant core
Меню, пожалуйста.	მენიუ, თუ შეიძლება.<br>[sound:ge_essentials_practical-a60c006a1c2d8ed6.wav]			georgian audio restaurant core
Вот это, пожалуйста. (показывая в меню)	ეს, თუ შეიძლება.<br>[sound:ge_essentials_practical-6f219ad6a4bf4a2f.wav]			georgian audio restaurant core
Пять хинкали, пожалуйста.	ხუთი ხინკალი, თუ შეიძლება.<br>[sound:ge_essentials_16-five-khinkali.wav]	После числа существительное остаётся в единственном числе — никогда не ხინკალები.		georgian audio restaurant core
Воды, пожалуйста.	წყალი, თუ შეიძლება.<br>[sound:ge_essentials_10-water-please.wav]			georgian audio restaurant core
Воду без газа, пожалуйста.	უგაზო წყალი, თუ შეიძლება.<br>[sound:ge_essentials_practical-33f75ebd401058f7.wav]	უგაზო — без газа, გაზიანი — с газом.		georgian audio restaurant core
Один кофе, пожалуйста.	ერთი ყავა, თუ შეიძლება.<br>[sound:ge_essentials_practical-bd7c1c3f1badec1d.wav]			georgian audio restaurant core
Без мяса, пожалуйста.	ხორცის გარეშე, თუ შეიძლება.<br>[sound:ge_essentials_practical-e2fa314b82cc5b64.wav]	[слово на -ის] + გარეშე = «без».		georgian audio restaurant core
В этом есть мясо?	ამაში ხორცი არის?<br>[sound:ge_essentials_practical-bc3a3697bb1897ae.wav]	Шаблон: ამაში [продукт] არის?		georgian audio restaurant core
Это острое?	ცხარეა?<br>[sound:ge_essentials_practical-50f4302230050fc8.wav]	ცხარე — острый (перец); ცხელი — горячий (температура).		georgian audio restaurant core
Не острое, пожалуйста.	ცხარე არ მინდა, თუ შეიძლება.<br>[sound:ge_essentials_practical-6fa56c9175d027bf.wav]			georgian audio restaurant core
Счёт, пожалуйста.	ანგარიში, თუ შეიძლება.<br>[sound:ge_essentials_practical-783c669723f6e62c.wav]	ანგარიში — счёт в ресторане; ჩეკი — чек.		georgian audio restaurant core
С собой, пожалуйста.	წასაღებად, თუ შეიძლება.<br>[sound:ge_essentials_practical-b2f8dcaf6894f2a6.wav]			georgian audio restaurant core
Где туалет?	ტუალეტი სად არის?<br>[sound:ge_essentials_practical-d07663e39c06b44e.wav]			georgian audio restaurant core
Вы слышите: აქ მიირთმევთ თუ წაიღებთ?<br>[sound:ge_essentials_practical-23cd65c8c3508d59.wav]	Здесь будете есть или с собой?	Ответ: აქ или წასაღებად.		georgian audio restaurant recognition core
хлеб	პური<br>[sound:ge_essentials_practical-42913efccf517c38.wav]	პური — хлеб, ფური — корова: абруптивный პ против придыхательного ფ.		georgian audio food core
сыр	ყველი<br>[sound:ge_essentials_practical-2d093436753b64eb.wav]			georgian audio food core
молоко	რძე<br>[sound:ge_essentials_practical-97e557b9e3ec9487.wav]			georgian audio food core
мясо	ხორცი<br>[sound:ge_essentials_practical-15fd610a42e7914e.wav]			georgian audio food core
курица (мясо)	ქათმის ხორცი<br>[sound:ge_essentials_practical-2bd529cb011f4107.wav]	Буквально: мясо курицы. Сама птица — ქათამი.		georgian audio food core
помидор	პომიდორი<br>[sound:ge_essentials_practical-6c4b05b1765e8edb.wav]			georgian audio food core
огурец	კიტრი<br>[sound:ge_essentials_practical-0ab8f3ac0252f69b.wav]			georgian audio food core
фасоль / лобио	ლობიო<br>[sound:ge_essentials_practical-e853e2deee0ac77d.wav]	Так называется и готовое блюдо.		georgian audio food core
фрукты	ხილი<br>[sound:ge_essentials_practical-6cf7bc319ef8f48f.wav]			georgian audio food core
грецкие орехи	ნიგოზი<br>[sound:ge_essentials_practical-6a8661ecdf81333f.wav]	ნიგოზი — грецкий орех, თხილი — фундук, მიწის თხილი — арахис.		georgian audio food core
вода	წყალი<br>[sound:ge_essentials_practical-c5a532a2188e266d.wav]			georgian audio food core
кофе	ყავა<br>[sound:ge_essentials_practical-cb7009e16963dc3f.wav]			georgian audio food core
чай	ჩაი<br>[sound:ge_essentials_practical-538c79c83262fc1c.wav]			georgian audio food core
вино	ღვინო<br>[sound:ge_essentials_practical-682e4d505134d9e2.wav]			georgian audio food core
хинкали	ხინკალი<br>[sound:ge_essentials_practical-38006577b3fa72ac.wav]			georgian audio food core
хачапури	ხაჭაპური<br>[sound:ge_essentials_practical-9f278cabc57a889f.wav]			georgian audio food core
острый (о вкусе)	ცხარე<br>[sound:ge_essentials_practical-9fabe55ea71cbd96.wav]	Только об остроте; горячий — ცხელი.		georgian audio food core
горячий	ცხელი<br>[sound:ge_essentials_practical-f9fb1f4833899d7e.wav]	Только о температуре; острый — ცხარე.		georgian audio food core
Где автобусная остановка?	ავტობუსის გაჩერება სად არის?<br>[sound:ge_essentials_practical-277614a78ff01fec.wav]			georgian audio transport core
Где метро?	მეტრო სად არის?<br>[sound:ge_essentials_practical-b9d631c0c749b9be.wav]			georgian audio transport core
Этот автобус идёт в центр?	ეს ავტობუსი ცენტრში მიდის?<br>[sound:ge_essentials_practical-f1b01a8cbd3d471c.wav]	-ში — «в»: ცენტრში, აეროპორტში.		georgian audio transport core
Где мне выходить?	სად უნდა ჩამოვიდე?<br>[sound:ge_essentials_practical-1c75712046d94b7b.wav]			georgian audio transport core
Остановите здесь, пожалуйста.	აქ გააჩერეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-3f9a9aadb1b3b2fe.wav]			georgian audio transport core
Сколько стоит билет?	ბილეთი რა ღირს?<br>[sound:ge_essentials_practical-80a352ec1a97d732.wav]			georgian audio transport core
Отвезите меня по этому адресу, пожалуйста.	ამ მისამართზე წამიყვანეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-14542deb1c980461.wav]			georgian audio transport core
Как оплатить?	როგორ გადავიხადო?<br>[sound:ge_essentials_practical-a27454f0029f2c6c.wav]			georgian audio transport core
Покажите на карте, пожалуйста.	რუკაზე მაჩვენეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-fe7f726e43681375.wav]	-ზე — «на, по»: რუკაზე, მისამართზე.		georgian audio transport core
Вы слышите: მარჯვნივ.<br>[sound:ge_essentials_practical-fe8f113f31cac0f6.wav]	Направо.	მარჯვნივ — направо, მარცხნივ — налево.		georgian audio transport recognition core
Вы слышите: მარცხნივ.<br>[sound:ge_essentials_practical-789400d6fd061ace.wav]	Налево.	მარცხნივ — налево, მარჯვნივ — направо.		georgian audio transport recognition core
Вы слышите: პირდაპირ.<br>[sound:ge_essentials_practical-587dbef62833ebb8.wav]	Прямо.			georgian audio transport recognition core
Надпись: შესასვლელი<br>[sound:ge_essentials_practical-259bdd3fd14fce71.wav]	Вход.	Выход — გასასვლელი: разница в одном слоге.		georgian audio transport recognition core
Надпись: გასასვლელი<br>[sound:ge_essentials_practical-d4ca437a4316abfa.wav]	Выход.	Вход — შესასვლელი: разница в одном слоге.		georgian audio transport recognition core
0	ნული<br>[sound:ge_essentials_practical-d2ccfb628cdd1ec1.wav]			georgian audio numbers core
1	ერთი<br>[sound:ge_essentials_practical-5686249cf4b630d0.wav]			georgian audio numbers core
2	ორი<br>[sound:ge_essentials_practical-897e4c491a91e19d.wav]	После числа существительное — в единственном числе: ორი ლარი, а не ლარები.		georgian audio numbers core
3	სამი<br>[sound:ge_essentials_practical-3c4ed808a4abd3bc.wav]			georgian audio numbers core
4	ოთხი<br>[sound:ge_essentials_practical-d899cea3033ad05b.wav]			georgian audio numbers core
5	ხუთი<br>[sound:ge_essentials_practical-abeca8513b4149bd.wav]			georgian audio numbers core
6	ექვსი<br>[sound:ge_essentials_practical-c0a692bf70f45b0b.wav]			georgian audio numbers core
7	შვიდი<br>[sound:ge_essentials_practical-8213071673d2ba01.wav]			georgian audio numbers core
8	რვა<br>[sound:ge_essentials_practical-7fffc3eb3bda4745.wav]			georgian audio numbers core
9	ცხრა<br>[sound:ge_essentials_practical-4a43f005362faf6e.wav]			georgian audio numbers core
10	ათი<br>[sound:ge_essentials_practical-a53963eb98aa63b1.wav]			georgian audio numbers core
11	თერთმეტი<br>[sound:ge_essentials_practical-88d8d95e05c44a42.wav]	11–19: сокращённое «десять» + единица + მეტი, как наше «-надцать». Запоминайте написание, не складывайте сами.		georgian audio numbers core
12	თორმეტი<br>[sound:ge_essentials_practical-269df753e526e21d.wav]			georgian audio numbers core
13	ცამეტი<br>[sound:ge_essentials_practical-4eae99e9cfad8faa.wav]			georgian audio numbers core
14	თოთხმეტი<br>[sound:ge_essentials_practical-a7c373c3d547f562.wav]			georgian audio numbers core
15	თხუთმეტი<br>[sound:ge_essentials_practical-ddd92cf94be6f43a.wav]			georgian audio numbers core
16	თექვსმეტი<br>[sound:ge_essentials_practical-69f15ef7e71f683f.wav]			georgian audio numbers core
17	ჩვიდმეტი<br>[sound:ge_essentials_practical-a82ab345ec7f1192.wav]	ჩვიდმეტი — с ჩ, хотя семь — შვიდი с შ.		georgian audio numbers core
18	თვრამეტი<br>[sound:ge_essentials_practical-585a8c1057129450.wav]			georgian audio numbers core
19	ცხრამეტი<br>[sound:ge_essentials_practical-e78db541ed28fe45.wav]			georgian audio numbers core
20	ოცი<br>[sound:ge_essentials_practical-98f7a8a5b4315a3f.wav]	21–39: ოცდა + 1–19, пишется слитно.		georgian audio numbers core
30	ოცდაათი<br>[sound:ge_essentials_practical-845dc59c75795c08.wav]	20 + 10. Грузинский считает двадцатками, а не десятками.		georgian audio numbers core
40	ორმოცი<br>[sound:ge_essentials_practical-9e257812e549e5c6.wav]	2 × 20. 41–59: ორმოცდა + 1–19.		georgian audio numbers core
50	ორმოცდაათი<br>[sound:ge_essentials_practical-1982e28cd8b89059.wav]			georgian audio numbers core
60	სამოცი<br>[sound:ge_essentials_practical-729099908ce4f8c3.wav]	3 × 20.		georgian audio numbers core
70	სამოცდაათი<br>[sound:ge_essentials_practical-abbec47a5672bf83.wav]			georgian audio numbers core
80	ოთხმოცი<br>[sound:ge_essentials_practical-47fbfadbb67d09f5.wav]	4 × 20.		georgian audio numbers core
90	ოთხმოცდაათი<br>[sound:ge_essentials_practical-ecaeeb2d37eb353b.wav]			georgian audio numbers core
100	ასი<br>[sound:ge_essentials_practical-7d5b33af38c02942.wav]	Перед остатком теряет ი: ას ერთი.		georgian audio numbers core
Два лари пятьдесят тетри.	ორი ლარი და ორმოცდაათი თეთრი<br>[sound:ge_essentials_practical-14c7ce6c5d9c2011.wav]	1 лари = 100 тетри.		georgian audio numbers core
Пять лари.	ხუთი ლარი<br>[sound:ge_essentials_practical-a8e1f7b9dcd3f2f1.wav]			georgian audio numbers core
человек	ადამიანი<br>[sound:ge_essentials_practical-984649843836405b.wav]			georgian audio basics core
мужчина	კაცი<br>[sound:ge_essentials_practical-28d405a3e9584669.wav]	კაცი — мужчина, ქალი — женщина: абруптивный კ против придыхательного ქ.		georgian audio basics core
женщина	ქალი<br>[sound:ge_essentials_practical-449816df623dc4a7.wav]	ქალი — женщина, კაცი — мужчина: придыхательный ქ против абруптивного კ.		georgian audio basics core
ребёнок	ბავშვი<br>[sound:ge_essentials_practical-6b468d388f2cb12e.wav]	Ребёнок вообще; შვილი — чей-то сын или дочь.		georgian audio basics core
это	ეს<br>[sound:ge_essentials_practical-4257ebd0ac934ebc.wav]			georgian audio basics core
здесь	აქ<br>[sound:ge_essentials_practical-1c1f2ed0e9c3a889.wav]	აქ — здесь, იქ — там.		georgian audio basics core
где?	სად?<br>[sound:ge_essentials_practical-55acf5adb4f395d8.wav]			georgian audio basics core
сколько?	რამდენი?<br>[sound:ge_essentials_practical-75adea3b22b442db.wav]	О цене обычно спрашивают რა ღირს?		georgian audio basics core
сегодня	დღეს<br>[sound:ge_essentials_practical-ab8703c1911d0ae8.wav]			georgian audio basics core
завтра	ხვალ<br>[sound:ge_essentials_practical-5a1e123bdcd71b6f.wav]			georgian audio basics core
сейчас	ახლა<br>[sound:ge_essentials_practical-cdb50374f2572dfc.wav]			georgian audio basics core
Я хочу…	მინდა…<br>[sound:ge_essentials_practical-0b9c4bddf3cb2306.wav]	წყალი მინდა. Для мягкости добавьте თუ შეიძლება.		georgian audio basics core
Не хочу.	არ მინდა.<br>[sound:ge_essentials_practical-09f5c7a916841abd.wav]			georgian audio basics core
Мне нужна помощь.	დახმარება მჭირდება.<br>[sound:ge_essentials_practical-add366fba258bb34.wav]	მჭირდება — «мне нужен»: ექიმი მჭირდება, ტაქსი მჭირდება.		georgian audio help core
Помогите мне, пожалуйста.	დამეხმარეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-e00aa0b77b7dd688.wav]			georgian audio help core
Вы сказали пятнадцать или пятьдесят?	თხუთმეტი თქვით თუ ორმოცდაათი?<br>[sound:ge_essentials_practical-5844a93f66bf20f7.wav]	Не расслышали число — переспросите, назвав оба варианта.		georgian audio clarification expansion core
Покажите цену, пожалуйста.	ფასი მაჩვენეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-6756cdfb9135d67d.wav]			georgian audio clarification expansion core
Ещё один, пожалуйста.	კიდევ ერთი, თუ შეიძლება.<br>[sound:ge_essentials_practical-261aad971a59ed24.wav]			georgian audio clarification expansion core
У меня аллергия на грецкие орехи.	ნიგოზზე ალერგია მაქვს.<br>[sound:ge_essentials_practical-385889803c9f3115.wav]	«Аллергия на…» — [слово + -ზე] ალერგია მაქვს: ნიგოზზე, რძეზე.		georgian audio food expansion core
Мне плохо.	ცუდად ვარ.<br>[sound:ge_essentials_practical-ab732ead472603a7.wav]	Буквально: я плохо.		georgian audio help expansion core
Здесь болит.	აქ მტკივა.<br>[sound:ge_essentials_practical-c2eedf933257fea1.wav]	Вас могут спросить: სად გტკივათ?		georgian audio help expansion core
Вызовите скорую, пожалуйста.	სასწრაფო გამოიძახეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-0b5dd35decfb2599.wav]	სასწრაფო (буквально «срочная») — скорая помощь.		georgian audio help expansion core
Во сколько вы открываетесь?	რომელ საათზე იწყებთ მუშაობას?<br>[sound:ge_essentials_practical-ac7d054715b656ad.wav]	Буквально: во сколько вы начинаете работать?		georgian audio time expansion core
До скольки вы работаете?	რომელ საათამდე მუშაობთ?<br>[sound:ge_essentials_practical-92f35eceba79ad50.wav]	Снова -მდე («до»): საათამდე.		georgian audio time expansion core
У меня бронь.	ჯავშანი მაქვს.<br>[sound:ge_essentials_practical-d2683f6122f4c313.wav]			georgian audio accommodation expansion core
Нет горячей воды.	ცხელი წყალი არ არის.<br>[sound:ge_essentials_practical-6a97c1731ffeb22f.wav]	[что-то] + არ არის = «нет …».		georgian audio accommodation expansion core
Скажите, пожалуйста, когда приедем.	როცა მივალთ, მითხარით, თუ შეიძლება.<br>[sound:ge_essentials_practical-4db46f24ee4b7364.wav]			georgian audio transport expansion core
Вы слышите: აღარ გვაქვს.<br>[sound:ge_essentials_practical-f4015cfff0d82802.wav]	Этого больше нет.	აღარ — «больше не»: товар закончился.		georgian audio replies recognition expansion core
Вы слышите: ოცი წუთი დასჭირდება.<br>[sound:ge_essentials_practical-7ff2b6da2e6967cd.wav]	Это займёт двадцать минут.			georgian audio replies recognition expansion core
Вы слышите: დამატებით უნდა გადაიხადოთ.<br>[sound:ge_essentials_practical-79edabc552b81e07.wav]	Нужно доплатить.			georgian audio replies recognition expansion core
Вы слышите: არ შეიძლება.<br>[sound:ge_essentials_practical-0dfd52e0358751aa.wav]	Нельзя.			georgian audio replies recognition expansion core
Доброе утро.	დილა მშვიდობისა.<br>[sound:ge_essentials_practical-22e02ae01044aa14.wav]			georgian audio courtesy
Добрый вечер.	საღამო მშვიდობისა.<br>[sound:ge_essentials_practical-5d844353909fda03.wav]			georgian audio courtesy
Не за что.	არაფრის.<br>[sound:ge_essentials_practical-f85307582f62685e.wav]			georgian audio courtesy
Как у вас дела?	როგორ ხართ?<br>[sound:ge_essentials_practical-b72bdda0d0d7df6f.wav]	На «ты»: როგორ ხარ?		georgian audio courtesy
У меня всё хорошо, спасибо.	კარგად ვარ, მადლობა.<br>[sound:ge_essentials_practical-bfa817857471dd65.wav]			georgian audio courtesy
Меня зовут…	მე მქვია…<br>[sound:ge_essentials_practical-9e67dc0ba9d393df.wav]	მე обычно опускают.		georgian audio courtesy
Я немного говорю по-грузински.	ცოტა ქართულად ვლაპარაკობ.<br>[sound:ge_essentials_practical-a2396438622db197.wav]			georgian audio courtesy
Что это значит?	ეს რას ნიშნავს?<br>[sound:ge_essentials_practical-5a7fca21663d5cc8.wav]			georgian audio courtesy
Как это сказать по-грузински?	ამას ქართულად როგორ ამბობენ?<br>[sound:ge_essentials_practical-450f9cac03ecf6f2.wav]			georgian audio courtesy
Минутку, пожалуйста.	ერთი წუთით, თუ შეიძლება.<br>[sound:ge_essentials_practical-6e5a23de17087367.wav]			georgian audio courtesy
Вы слышите: ბოდიში.<br>[sound:ge_essentials_practical-878014ce56ef58e7.wav]	Извините. / Простите.	Извинение; чтобы обратиться — უკაცრავად.		georgian audio courtesy recognition
Вы слышите: დიახ.<br>[sound:ge_essentials_practical-99d870d372adc0e9.wav]	Да.	Официально; в разговоре — კი.		georgian audio courtesy recognition
Вы слышите: მობრძანდით.<br>[sound:ge_essentials_practical-157d6c6aabd57733.wav]	Входите, пожалуйста. / Добро пожаловать.			georgian audio courtesy recognition
Чуть больше, пожалуйста.	ცოტა მეტი, თუ შეიძლება.<br>[sound:ge_essentials_practical-57ddac2870ea182d.wav]			georgian audio shopping
Чуть меньше, пожалуйста.	ცოტა ნაკლები, თუ შეიძლება.<br>[sound:ge_essentials_practical-64885d9e258ba42a.wav]	მეტი — больше, ნაკლები — меньше.		georgian audio shopping
Можно попробовать?	შეიძლება გავსინჯო?<br>[sound:ge_essentials_practical-6467c6f25f53cc21.wav]			georgian audio shopping
Это свежее?	ახალია?<br>[sound:ge_essentials_practical-0fe5202db26472b0.wav]	ახალი — и «новый», и «свежий».		georgian audio shopping
Это сладкое?	ტკბილია?<br>[sound:ge_essentials_practical-0aeadf571cd62140.wav]			georgian audio shopping
Это дорого.	ძვირია.<br>[sound:ge_essentials_practical-eec6b4941218f053.wav]	-ია — сокращённое არის: ძვირი + არის → ძვირია. Так же ტკბილია, ცხარეა, გემრიელია.		georgian audio shopping
Можете сбавить цену?	ფასს დამიკლებთ?<br>[sound:ge_essentials_practical-9a63d34e33c756c6.wav]			georgian audio shopping
Есть подешевле?	უფრო იაფი გაქვთ?<br>[sound:ge_essentials_practical-deba9d86a8022603.wav]	უფრო + прилагательное = сравнительная степень: უფრო იაფი, უფრო დიდი.		georgian audio shopping
Я заплачу наличными.	ნაღდი ფულით გადავიხდი.<br>[sound:ge_essentials_practical-45dd84b6e2bad943.wav]			georgian audio shopping
Пакет не нужен.	პარკი არ მინდა.<br>[sound:ge_essentials_practical-6edd4a732dcca519.wav]			georgian audio shopping
Чек, пожалуйста.	ჩეკი, თუ შეიძლება.<br>[sound:ge_essentials_practical-af314eec24ad95d5.wav]	ჩეკი — чек из магазина; счёт в ресторане — ანგარიში.		georgian audio shopping
Можно примерить?	შეიძლება მოვიზომო?<br>[sound:ge_essentials_practical-fd4d79f582d9ed96.wav]			georgian audio shopping
Есть размер побольше?	უფრო დიდი ზომა გაქვთ?<br>[sound:ge_essentials_practical-ffe8e355aedc5fd5.wav]			georgian audio shopping
Есть размер поменьше?	უფრო პატარა ზომა გაქვთ?<br>[sound:ge_essentials_practical-5b5005eefe622a75.wav]	დიდი — большой, პატარა — маленький.		georgian audio shopping
Где рынок?	ბაზარი სად არის?<br>[sound:ge_essentials_practical-377f08b76c78a1e0.wav]	Шаблон: [место] + სად არის?		georgian audio shopping
Вы слышите: ხურდა გაქვთ?<br>[sound:ge_essentials_practical-92bd0a37469e75d2.wav]	У вас есть мелочь?	ხურდა — мелочь; просят монеты или купюру помельче.		georgian audio shopping recognition
Надпись: ღიაა<br>[sound:ge_essentials_practical-be776a80af225858.wav]	Открыто.			georgian audio shopping recognition
Надпись: დაკეტილია<br>[sound:ge_essentials_practical-bc904cad9b01563d.wav]	Закрыто.			georgian audio shopping recognition
Что вы посоветуете?	რას მირჩევთ?<br>[sound:ge_essentials_practical-f8a6824c63b48010.wav]			georgian audio restaurant
Я хочу заказать.	შეკვეთა მინდა.<br>[sound:ge_essentials_practical-b333d224bcec63e3.wav]			georgian audio restaurant
Один хачапури, пожалуйста.	ერთი ხაჭაპური, თუ შეიძლება.<br>[sound:ge_essentials_practical-991c290a4597582f.wav]			georgian audio restaurant
Воду с газом, пожалуйста.	გაზიანი წყალი, თუ შეიძლება.<br>[sound:ge_essentials_practical-8026f7e049136d1b.wav]			georgian audio restaurant
Чай без сахара, пожалуйста.	ჩაი უშაქროდ, თუ შეიძლება.<br>[sound:ge_essentials_practical-49e3f35196a22c1a.wav]	უ-…-ოდ = «без»: უშაქროდ, უმარილოდ.		georgian audio restaurant
Кофе с молоком, пожалуйста.	ყავა რძით, თუ შეიძლება.<br>[sound:ge_essentials_practical-e7beec597f0ff6a0.wav]	-ით — «с, чем»: რძით, ბარათით, ფეხით.		georgian audio restaurant
Бокал красного вина, пожалуйста.	ერთი ჭიქა წითელი ღვინო, თუ შეიძლება.<br>[sound:ge_essentials_practical-9107a7e181d39ede.wav]	ჭიქა — и бокал, и чашка.		georgian audio restaurant
Я вегетарианец / вегетарианка.	ვეგეტარიანელი ვარ.<br>[sound:ge_essentials_practical-e1529ba219e463b0.wav]			georgian audio restaurant
В этом есть грецкие орехи?	ამაში ნიგოზი არის?<br>[sound:ge_essentials_practical-9cd334687130f3ce.wav]			georgian audio restaurant
Без грецких орехов, пожалуйста.	ნიგვზის გარეშე, თუ შეიძლება.<br>[sound:ge_essentials_practical-f68ca0bc4aef4f7d.wav]	ნიგოზი → ნიგვზის перед გარეშე.		georgian audio restaurant
Соль, пожалуйста.	მარილი, თუ შეიძლება.<br>[sound:ge_essentials_practical-9f9bfbb29124c66c.wav]			georgian audio restaurant
Очень вкусно.	გემრიელია.<br>[sound:ge_essentials_practical-681d98e7e476a347.wav]			georgian audio restaurant
Можно заплатить раздельно?	ცალ-ცალკე გადახდა შეიძლება?<br>[sound:ge_essentials_practical-c451508c9c1b40d2.wav]			georgian audio restaurant
Заверните это с собой, пожалуйста.	ეს შემიფუთეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-4963f70b921d986f.wav]			georgian audio restaurant
