#separator:Tab
#html:true
#tags column:5
#notetype:Georgian Essentials — Practical + Listening
#deck:Georgian - Essentials
#columns:Front	Back	Notes	Audio	Tags
One kilo of tomatoes, please.	ერთი კილო პომიდორი, თუ შეიძლება.<br>[sound:ge_essentials_practical-485c26a6a2fa2647.wav]			georgian audio shopping core
Half a kilo of cheese, please.	ნახევარი კილო ყველი, თუ შეიძლება.<br>[sound:ge_essentials_practical-06d98e1f6a2379c0.wav]			georgian audio shopping core
Two of these, please.	ორი ცალი, თუ შეიძლება.<br>[sound:ge_essentials_practical-36e57ca8b43923b9.wav]	ცალი counts individual items.		georgian audio shopping core
That&#x27;s enough, thank you.	საკმარისია, მადლობა.<br>[sound:ge_essentials_practical-1a20e170fb20b9ca.wav]			georgian audio shopping core
Can I pay by card?	ბარათით გადახდა შეიძლება?<br>[sound:ge_essentials_practical-e42f2c3b8108d032.wav]			georgian audio shopping core
A bag, please.	პარკი, თუ შეიძლება.<br>[sound:ge_essentials_practical-2de0911818d2d32d.wav]	A plastic bag; the word also means park.		georgian audio shopping core
You hear: კიდევ?<br>[sound:ge_essentials_practical-bdb0a0d0e47abce1.wav]	Anything else? / More?	Literally: more/again.		georgian audio shopping recognition core
You hear: სულ ათი ლარია.<br>[sound:ge_essentials_practical-4f2f6a8a35255f0a.wav]	It&#x27;s ten lari in total.	სულ = in total.		georgian audio shopping recognition core
You hear: მხოლოდ ნაღდი ფულით.<br>[sound:ge_essentials_practical-5bee7810179bd637.wav]	Cash only.			georgian audio shopping recognition core
You hear: არ გვაქვს.<br>[sound:ge_essentials_practical-d4679e0dc1eb1509.wav]	We don&#x27;t have it.			georgian audio shopping recognition core
You hear: ბარათით თუ ნაღდით?<br>[sound:ge_essentials_practical-9957cba1446789fc.wav]	By card or in cash?	თუ = or, in a choice question.		georgian audio shopping recognition core
A table for two, please.	მაგიდა ორი ადამიანისთვის, თუ შეიძლება.<br>[sound:ge_essentials_practical-883332c6590782c2.wav]			georgian audio restaurant core
The menu, please.	მენიუ, თუ შეიძლება.<br>[sound:ge_essentials_practical-a60c006a1c2d8ed6.wav]			georgian audio restaurant core
This one, please. (pointing at the menu)	ეს, თუ შეიძლება.<br>[sound:ge_essentials_practical-6f219ad6a4bf4a2f.wav]			georgian audio restaurant core
Five khinkali, please.	ხუთი ხინკალი, თუ შეიძლება.<br>[sound:ge_essentials_16-five-khinkali.wav]	After a number the noun stays singular — never ხინკალები.		georgian audio restaurant core
Water, please.	წყალი, თუ შეიძლება.<br>[sound:ge_essentials_10-water-please.wav]			georgian audio restaurant core
Still water, please.	უგაზო წყალი, თუ შეიძლება.<br>[sound:ge_essentials_practical-33f75ebd401058f7.wav]	უგაზო = without gas, გაზიანი = with gas.		georgian audio restaurant core
One coffee, please.	ერთი ყავა, თუ შეიძლება.<br>[sound:ge_essentials_practical-bd7c1c3f1badec1d.wav]			georgian audio restaurant core
Without meat, please.	ხორცის გარეშე, თუ შეიძლება.<br>[sound:ge_essentials_practical-e2fa314b82cc5b64.wav]	[noun in -ის] + გარეშე = without.		georgian audio restaurant core
Does this contain meat?	ამაში ხორცი არის?<br>[sound:ge_essentials_practical-bc3a3697bb1897ae.wav]	Reusable: ამაში [item] არის?		georgian audio restaurant core
Is it spicy?	ცხარეა?<br>[sound:ge_essentials_practical-50f4302230050fc8.wav]	ცხარე is chili heat; ცხელი is temperature.		georgian audio restaurant core
Not spicy, please.	ცხარე არ მინდა, თუ შეიძლება.<br>[sound:ge_essentials_practical-6fa56c9175d027bf.wav]			georgian audio restaurant core
The bill, please.	ანგარიში, თუ შეიძლება.<br>[sound:ge_essentials_practical-783c669723f6e62c.wav]	ანგარიში is the bill; ჩეკი is the receipt.		georgian audio restaurant core
Takeaway, please.	წასაღებად, თუ შეიძლება.<br>[sound:ge_essentials_practical-b2f8dcaf6894f2a6.wav]			georgian audio restaurant core
Where is the toilet?	ტუალეტი სად არის?<br>[sound:ge_essentials_practical-d07663e39c06b44e.wav]			georgian audio restaurant core
You hear: აქ მიირთმევთ თუ წაიღებთ?<br>[sound:ge_essentials_practical-23cd65c8c3508d59.wav]	Eating here or taking it away?	Answer აქ or წასაღებად.		georgian audio restaurant recognition core
bread	პური<br>[sound:ge_essentials_practical-42913efccf517c38.wav]	პური bread, ფური cow — ejective პ vs aspirated ფ.		georgian audio food core
cheese	ყველი<br>[sound:ge_essentials_practical-2d093436753b64eb.wav]			georgian audio food core
milk	რძე<br>[sound:ge_essentials_practical-97e557b9e3ec9487.wav]			georgian audio food core
meat	ხორცი<br>[sound:ge_essentials_practical-15fd610a42e7914e.wav]			georgian audio food core
chicken (meat)	ქათმის ხორცი<br>[sound:ge_essentials_practical-2bd529cb011f4107.wav]	Literally: chicken&#x27;s meat. The bird is ქათამი.		georgian audio food core
tomato	პომიდორი<br>[sound:ge_essentials_practical-6c4b05b1765e8edb.wav]			georgian audio food core
cucumber	კიტრი<br>[sound:ge_essentials_practical-0ab8f3ac0252f69b.wav]			georgian audio food core
beans / bean stew	ლობიო<br>[sound:ge_essentials_practical-e853e2deee0ac77d.wav]	Also the name of the cooked dish.		georgian audio food core
fruit	ხილი<br>[sound:ge_essentials_practical-6cf7bc319ef8f48f.wav]			georgian audio food core
walnuts	ნიგოზი<br>[sound:ge_essentials_practical-6a8661ecdf81333f.wav]	ნიგოზი walnut, თხილი hazelnut, მიწის თხილი peanut.		georgian audio food core
water	წყალი<br>[sound:ge_essentials_practical-c5a532a2188e266d.wav]			georgian audio food core
coffee	ყავა<br>[sound:ge_essentials_practical-cb7009e16963dc3f.wav]			georgian audio food core
tea	ჩაი<br>[sound:ge_essentials_practical-538c79c83262fc1c.wav]			georgian audio food core
wine	ღვინო<br>[sound:ge_essentials_practical-682e4d505134d9e2.wav]			georgian audio food core
khinkali (dumplings)	ხინკალი<br>[sound:ge_essentials_practical-38006577b3fa72ac.wav]			georgian audio food core
khachapuri (cheese-filled bread)	ხაჭაპური<br>[sound:ge_essentials_practical-9f278cabc57a889f.wav]			georgian audio food core
spicy / hot (chili heat)	ცხარე<br>[sound:ge_essentials_practical-9fabe55ea71cbd96.wav]	Chili heat only; temperature is ცხელი.		georgian audio food core
hot (temperature)	ცხელი<br>[sound:ge_essentials_practical-f9fb1f4833899d7e.wav]	Temperature only; chili heat is ცხარე.		georgian audio food core
Where is the bus stop?	ავტობუსის გაჩერება სად არის?<br>[sound:ge_essentials_practical-277614a78ff01fec.wav]			georgian audio transport core
Where is the metro?	მეტრო სად არის?<br>[sound:ge_essentials_practical-b9d631c0c749b9be.wav]			georgian audio transport core
Does this bus go to the center?	ეს ავტობუსი ცენტრში მიდის?<br>[sound:ge_essentials_practical-f1b01a8cbd3d471c.wav]	-ში = to/in: ცენტრში, აეროპორტში.		georgian audio transport core
Where should I get off?	სად უნდა ჩამოვიდე?<br>[sound:ge_essentials_practical-1c75712046d94b7b.wav]			georgian audio transport core
Please stop here.	აქ გააჩერეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-3f9a9aadb1b3b2fe.wav]			georgian audio transport core
How much is the ticket?	ბილეთი რა ღირს?<br>[sound:ge_essentials_practical-80a352ec1a97d732.wav]			georgian audio transport core
Please take me to this address.	ამ მისამართზე წამიყვანეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-14542deb1c980461.wav]			georgian audio transport core
How do I pay?	როგორ გადავიხადო?<br>[sound:ge_essentials_practical-a27454f0029f2c6c.wav]			georgian audio transport core
Please show me on the map.	რუკაზე მაჩვენეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-fe7f726e43681375.wav]	-ზე = on/at: რუკაზე, მისამართზე.		georgian audio transport core
You hear: მარჯვნივ.<br>[sound:ge_essentials_practical-fe8f113f31cac0f6.wav]	To the right.	მარჯვნივ right, მარცხნივ left.		georgian audio transport recognition core
You hear: მარცხნივ.<br>[sound:ge_essentials_practical-789400d6fd061ace.wav]	To the left.	მარცხნივ left, მარჯვნივ right.		georgian audio transport recognition core
You hear: პირდაპირ.<br>[sound:ge_essentials_practical-587dbef62833ebb8.wav]	Straight ahead.			georgian audio transport recognition core
Read the sign: შესასვლელი<br>[sound:ge_essentials_practical-259bdd3fd14fce71.wav]	Entrance.	In. Out is გასასვლელი — one syllable apart.		georgian audio transport recognition core
Read the sign: გასასვლელი<br>[sound:ge_essentials_practical-d4ca437a4316abfa.wav]	Exit.	Out. In is შესასვლელი — one syllable apart.		georgian audio transport recognition core
0	ნული<br>[sound:ge_essentials_practical-d2ccfb628cdd1ec1.wav]			georgian audio numbers core
1	ერთი<br>[sound:ge_essentials_practical-5686249cf4b630d0.wav]			georgian audio numbers core
2	ორი<br>[sound:ge_essentials_practical-897e4c491a91e19d.wav]	A counted noun stays singular: ორი ლარი, not ლარები.		georgian audio numbers core
3	სამი<br>[sound:ge_essentials_practical-3c4ed808a4abd3bc.wav]			georgian audio numbers core
4	ოთხი<br>[sound:ge_essentials_practical-d899cea3033ad05b.wav]			georgian audio numbers core
5	ხუთი<br>[sound:ge_essentials_practical-abeca8513b4149bd.wav]			georgian audio numbers core
6	ექვსი<br>[sound:ge_essentials_practical-c0a692bf70f45b0b.wav]			georgian audio numbers core
7	შვიდი<br>[sound:ge_essentials_practical-8213071673d2ba01.wav]			georgian audio numbers core
8	რვა<br>[sound:ge_essentials_practical-7fffc3eb3bda4745.wav]			georgian audio numbers core
9	ცხრა<br>[sound:ge_essentials_practical-4a43f005362faf6e.wav]			georgian audio numbers core
10	ათი<br>[sound:ge_essentials_practical-a53963eb98aa63b1.wav]			georgian audio numbers core
11	თერთმეტი<br>[sound:ge_essentials_practical-88d8d95e05c44a42.wav]	11–19 contract ten + unit + მეტი. Learn the spellings; don&#x27;t concatenate.		georgian audio numbers core
12	თორმეტი<br>[sound:ge_essentials_practical-269df753e526e21d.wav]			georgian audio numbers core
13	ცამეტი<br>[sound:ge_essentials_practical-4eae99e9cfad8faa.wav]			georgian audio numbers core
14	თოთხმეტი<br>[sound:ge_essentials_practical-a7c373c3d547f562.wav]			georgian audio numbers core
15	თხუთმეტი<br>[sound:ge_essentials_practical-ddd92cf94be6f43a.wav]			georgian audio numbers core
16	თექვსმეტი<br>[sound:ge_essentials_practical-69f15ef7e71f683f.wav]			georgian audio numbers core
17	ჩვიდმეტი<br>[sound:ge_essentials_practical-a82ab345ec7f1192.wav]	ჩვიდმეტი with ჩ, although seven is შვიდი with შ.		georgian audio numbers core
18	თვრამეტი<br>[sound:ge_essentials_practical-585a8c1057129450.wav]			georgian audio numbers core
19	ცხრამეტი<br>[sound:ge_essentials_practical-e78db541ed28fe45.wav]			georgian audio numbers core
20	ოცი<br>[sound:ge_essentials_practical-98f7a8a5b4315a3f.wav]	21–39: ოცდა + 1–19, written as one word.		georgian audio numbers core
30	ოცდაათი<br>[sound:ge_essentials_practical-845dc59c75795c08.wav]	20 + 10. Georgian counts in twenties, not tens.		georgian audio numbers core
40	ორმოცი<br>[sound:ge_essentials_practical-9e257812e549e5c6.wav]	2 × 20. 41–59: ორმოცდა + 1–19.		georgian audio numbers core
50	ორმოცდაათი<br>[sound:ge_essentials_practical-1982e28cd8b89059.wav]			georgian audio numbers core
60	სამოცი<br>[sound:ge_essentials_practical-729099908ce4f8c3.wav]	3 × 20.		georgian audio numbers core
70	სამოცდაათი<br>[sound:ge_essentials_practical-abbec47a5672bf83.wav]			georgian audio numbers core
80	ოთხმოცი<br>[sound:ge_essentials_practical-47fbfadbb67d09f5.wav]	4 × 20.		georgian audio numbers core
90	ოთხმოცდაათი<br>[sound:ge_essentials_practical-ecaeeb2d37eb353b.wav]			georgian audio numbers core
100	ასი<br>[sound:ge_essentials_practical-7d5b33af38c02942.wav]	Drops its ი before a remainder: ას ერთი.		georgian audio numbers core
Two lari and fifty tetri.	ორი ლარი და ორმოცდაათი თეთრი<br>[sound:ge_essentials_practical-14c7ce6c5d9c2011.wav]	1 lari = 100 tetri.		georgian audio numbers core
Five lari.	ხუთი ლარი<br>[sound:ge_essentials_practical-a8e1f7b9dcd3f2f1.wav]			georgian audio numbers core
person / human being	ადამიანი<br>[sound:ge_essentials_practical-984649843836405b.wav]			georgian audio basics core
man	კაცი<br>[sound:ge_essentials_practical-28d405a3e9584669.wav]	კაცი man, ქალი woman — ejective კ vs aspirated ქ.		georgian audio basics core
woman	ქალი<br>[sound:ge_essentials_practical-449816df623dc4a7.wav]	ქალი woman, კაცი man — aspirated ქ vs ejective კ.		georgian audio basics core
child	ბავშვი<br>[sound:ge_essentials_practical-6b468d388f2cb12e.wav]	A child in general; შვილი is someone&#x27;s child.		georgian audio basics core
this	ეს<br>[sound:ge_essentials_practical-4257ebd0ac934ebc.wav]			georgian audio basics core
here	აქ<br>[sound:ge_essentials_practical-1c1f2ed0e9c3a889.wav]	აქ here, იქ there.		georgian audio basics core
where?	სად?<br>[sound:ge_essentials_practical-55acf5adb4f395d8.wav]			georgian audio basics core
how much? / how many?	რამდენი?<br>[sound:ge_essentials_practical-75adea3b22b442db.wav]	For a price the usual chunk is რა ღირს?		georgian audio basics core
today	დღეს<br>[sound:ge_essentials_practical-ab8703c1911d0ae8.wav]			georgian audio basics core
tomorrow	ხვალ<br>[sound:ge_essentials_practical-5a1e123bdcd71b6f.wav]			georgian audio basics core
now	ახლა<br>[sound:ge_essentials_practical-cdb50374f2572dfc.wav]			georgian audio basics core
I want…	მინდა…<br>[sound:ge_essentials_practical-0b9c4bddf3cb2306.wav]	წყალი მინდა. Add თუ შეიძლება to soften it.		georgian audio basics core
I don&#x27;t want it.	არ მინდა.<br>[sound:ge_essentials_practical-09f5c7a916841abd.wav]			georgian audio basics core
I need help.	დახმარება მჭირდება.<br>[sound:ge_essentials_practical-add366fba258bb34.wav]	მჭირდება = I need: ექიმი მჭირდება, ტაქსი მჭირდება.		georgian audio help core
Help me, please.	დამეხმარეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-e00aa0b77b7dd688.wav]			georgian audio help core
Did you say fifteen or fifty?	თხუთმეტი თქვით თუ ორმოცდაათი?<br>[sound:ge_essentials_practical-5844a93f66bf20f7.wav]	თხუთმეტი and ორმოცდაათი are easy to mishear — repeat both back.		georgian audio clarification expansion core
Please show me the price.	ფასი მაჩვენეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-6756cdfb9135d67d.wav]			georgian audio clarification expansion core
One more, please.	კიდევ ერთი, თუ შეიძლება.<br>[sound:ge_essentials_practical-261aad971a59ed24.wav]			georgian audio clarification expansion core
I&#x27;m allergic to walnuts.	ნიგოზზე ალერგია მაქვს.<br>[sound:ge_essentials_practical-385889803c9f3115.wav]	-ზე ალერგია მაქვს: ნიგოზზე, რძეზე.		georgian audio food expansion core
I feel unwell.	ცუდად ვარ.<br>[sound:ge_essentials_practical-ab732ead472603a7.wav]	Literally: I am badly.		georgian audio help expansion core
It hurts here.	აქ მტკივა.<br>[sound:ge_essentials_practical-c2eedf933257fea1.wav]	You may be asked სად გტკივათ?		georgian audio help expansion core
Please call an ambulance.	სასწრაფო გამოიძახეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-0b5dd35decfb2599.wav]	სასწრაფო (literally: urgent) is the ambulance service.		georgian audio help expansion core
What time do you open?	რომელ საათზე იწყებთ მუშაობას?<br>[sound:ge_essentials_practical-ac7d054715b656ad.wav]	Literally: at what time do you start work?		georgian audio time expansion core
Until what time are you open?	რომელ საათამდე მუშაობთ?<br>[sound:ge_essentials_practical-92f35eceba79ad50.wav]	-მდე again: საათამდე.		georgian audio time expansion core
I have a reservation.	ჯავშანი მაქვს.<br>[sound:ge_essentials_practical-d2683f6122f4c313.wav]			georgian audio accommodation expansion core
There is no hot water.	ცხელი წყალი არ არის.<br>[sound:ge_essentials_practical-6a97c1731ffeb22f.wav]	[thing] + არ არის = there is no…		georgian audio accommodation expansion core
Please tell me when we arrive.	როცა მივალთ, მითხარით, თუ შეიძლება.<br>[sound:ge_essentials_practical-4db46f24ee4b7364.wav]			georgian audio transport expansion core
You hear: აღარ გვაქვს.<br>[sound:ge_essentials_practical-f4015cfff0d82802.wav]	We don&#x27;t have any left.	აღარ = no longer; the item has run out.		georgian audio replies recognition expansion core
You hear: ოცი წუთი დასჭირდება.<br>[sound:ge_essentials_practical-7ff2b6da2e6967cd.wav]	It will take twenty minutes.			georgian audio replies recognition expansion core
You hear: დამატებით უნდა გადაიხადოთ.<br>[sound:ge_essentials_practical-79edabc552b81e07.wav]	You need to pay extra.			georgian audio replies recognition expansion core
You hear: არ შეიძლება.<br>[sound:ge_essentials_practical-0dfd52e0358751aa.wav]	It&#x27;s not allowed. / You can&#x27;t.			georgian audio replies recognition expansion core
Good morning.	დილა მშვიდობისა.<br>[sound:ge_essentials_practical-22e02ae01044aa14.wav]			georgian audio courtesy
Good evening.	საღამო მშვიდობისა.<br>[sound:ge_essentials_practical-5d844353909fda03.wav]			georgian audio courtesy
You&#x27;re welcome.	არაფრის.<br>[sound:ge_essentials_practical-f85307582f62685e.wav]			georgian audio courtesy
How are you? (polite)	როგორ ხართ?<br>[sound:ge_essentials_practical-b72bdda0d0d7df6f.wav]	Informal singular: როგორ ხარ?		georgian audio courtesy
I&#x27;m well, thank you.	კარგად ვარ, მადლობა.<br>[sound:ge_essentials_practical-bfa817857471dd65.wav]			georgian audio courtesy
My name is…	მე მქვია…<br>[sound:ge_essentials_practical-9e67dc0ba9d393df.wav]	Literally: I am called. მე is usually dropped.		georgian audio courtesy
I speak a little Georgian.	ცოტა ქართულად ვლაპარაკობ.<br>[sound:ge_essentials_practical-a2396438622db197.wav]			georgian audio courtesy
What does this mean?	ეს რას ნიშნავს?<br>[sound:ge_essentials_practical-5a7fca21663d5cc8.wav]			georgian audio courtesy
How do you say this in Georgian?	ამას ქართულად როგორ ამბობენ?<br>[sound:ge_essentials_practical-450f9cac03ecf6f2.wav]			georgian audio courtesy
One moment, please.	ერთი წუთით, თუ შეიძლება.<br>[sound:ge_essentials_practical-6e5a23de17087367.wav]			georgian audio courtesy
You hear: ბოდიში.<br>[sound:ge_essentials_practical-878014ce56ef58e7.wav]	Sorry. / My apologies.	An apology; უკაცრავად is for getting attention.		georgian audio courtesy recognition
You hear: დიახ.<br>[sound:ge_essentials_practical-99d870d372adc0e9.wav]	Yes.	Formal; კი in everyday speech.		georgian audio courtesy recognition
You hear: მობრძანდით.<br>[sound:ge_essentials_practical-157d6c6aabd57733.wav]	Please come in. / Welcome.			georgian audio courtesy recognition
A little more, please.	ცოტა მეტი, თუ შეიძლება.<br>[sound:ge_essentials_practical-57ddac2870ea182d.wav]			georgian audio shopping
A little less, please.	ცოტა ნაკლები, თუ შეიძლება.<br>[sound:ge_essentials_practical-64885d9e258ba42a.wav]	მეტი = more, ნაკლები = less.		georgian audio shopping
Can I taste it?	შეიძლება გავსინჯო?<br>[sound:ge_essentials_practical-6467c6f25f53cc21.wav]			georgian audio shopping
Is it fresh?	ახალია?<br>[sound:ge_essentials_practical-0fe5202db26472b0.wav]	ახალი = new or fresh.		georgian audio shopping
Is it sweet?	ტკბილია?<br>[sound:ge_essentials_practical-0aeadf571cd62140.wav]			georgian audio shopping
It&#x27;s expensive.	ძვირია.<br>[sound:ge_essentials_practical-eec6b4941218f053.wav]	-ია is &#x27;is&#x27;: ძვირი + არის → ძვირია. Same in ტკბილია, ცხარეა, გემრიელია.		georgian audio shopping
Can you lower the price?	ფასს დამიკლებთ?<br>[sound:ge_essentials_practical-9a63d34e33c756c6.wav]			georgian audio shopping
Do you have a cheaper one?	უფრო იაფი გაქვთ?<br>[sound:ge_essentials_practical-deba9d86a8022603.wav]	უფრო + adjective = more/-er: უფრო იაფი, უფრო დიდი.		georgian audio shopping
I&#x27;ll pay in cash.	ნაღდი ფულით გადავიხდი.<br>[sound:ge_essentials_practical-45dd84b6e2bad943.wav]			georgian audio shopping
I don&#x27;t need a bag.	პარკი არ მინდა.<br>[sound:ge_essentials_practical-6edd4a732dcca519.wav]			georgian audio shopping
The receipt, please.	ჩეკი, თუ შეიძლება.<br>[sound:ge_essentials_practical-af314eec24ad95d5.wav]	ჩეკი is the receipt; ანგარიში is the restaurant bill.		georgian audio shopping
Can I try it on?	შეიძლება მოვიზომო?<br>[sound:ge_essentials_practical-fd4d79f582d9ed96.wav]			georgian audio shopping
Do you have a larger size?	უფრო დიდი ზომა გაქვთ?<br>[sound:ge_essentials_practical-ffe8e355aedc5fd5.wav]			georgian audio shopping
Do you have a smaller size?	უფრო პატარა ზომა გაქვთ?<br>[sound:ge_essentials_practical-5b5005eefe622a75.wav]	დიდი = big, პატარა = small.		georgian audio shopping
Where is the market?	ბაზარი სად არის?<br>[sound:ge_essentials_practical-377f08b76c78a1e0.wav]	Reusable: [place] + სად არის?		georgian audio shopping
You hear: ხურდა გაქვთ?<br>[sound:ge_essentials_practical-92bd0a37469e75d2.wav]	Do you have change?	ხურდა = small change; they want coins or a smaller note.		georgian audio shopping recognition
Read the sign: ღიაა<br>[sound:ge_essentials_practical-be776a80af225858.wav]	Open.			georgian audio shopping recognition
Read the sign: დაკეტილია<br>[sound:ge_essentials_practical-bc904cad9b01563d.wav]	Closed.			georgian audio shopping recognition
What do you recommend?	რას მირჩევთ?<br>[sound:ge_essentials_practical-f8a6824c63b48010.wav]			georgian audio restaurant
I would like to order.	შეკვეთა მინდა.<br>[sound:ge_essentials_practical-b333d224bcec63e3.wav]			georgian audio restaurant
One khachapuri, please.	ერთი ხაჭაპური, თუ შეიძლება.<br>[sound:ge_essentials_practical-991c290a4597582f.wav]			georgian audio restaurant
Sparkling water, please.	გაზიანი წყალი, თუ შეიძლება.<br>[sound:ge_essentials_practical-8026f7e049136d1b.wav]			georgian audio restaurant
Tea without sugar, please.	ჩაი უშაქროდ, თუ შეიძლება.<br>[sound:ge_essentials_practical-49e3f35196a22c1a.wav]	უ-…-ოდ = without: უშაქროდ, უმარილოდ.		georgian audio restaurant
Coffee with milk, please.	ყავა რძით, თუ შეიძლება.<br>[sound:ge_essentials_practical-e7beec597f0ff6a0.wav]	-ით = with/by: რძით, ბარათით, ფეხით.		georgian audio restaurant
One glass of red wine, please.	ერთი ჭიქა წითელი ღვინო, თუ შეიძლება.<br>[sound:ge_essentials_practical-9107a7e181d39ede.wav]	ჭიქა = glass or cup.		georgian audio restaurant
I&#x27;m a vegetarian.	ვეგეტარიანელი ვარ.<br>[sound:ge_essentials_practical-e1529ba219e463b0.wav]			georgian audio restaurant
Does this contain walnuts?	ამაში ნიგოზი არის?<br>[sound:ge_essentials_practical-9cd334687130f3ce.wav]			georgian audio restaurant
Without walnuts, please.	ნიგვზის გარეშე, თუ შეიძლება.<br>[sound:ge_essentials_practical-f68ca0bc4aef4f7d.wav]	ნიგოზი → ნიგვზის before გარეშე.		georgian audio restaurant
Salt, please.	მარილი, თუ შეიძლება.<br>[sound:ge_essentials_practical-9f9bfbb29124c66c.wav]			georgian audio restaurant
It&#x27;s delicious.	გემრიელია.<br>[sound:ge_essentials_practical-681d98e7e476a347.wav]			georgian audio restaurant
Can we pay separately?	ცალ-ცალკე გადახდა შეიძლება?<br>[sound:ge_essentials_practical-c451508c9c1b40d2.wav]			georgian audio restaurant
Please pack this to take away.	ეს შემიფუთეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-4963f70b921d986f.wav]			georgian audio restaurant
You hear: ინებეთ.<br>[sound:ge_essentials_practical-5ab427dafae1b9b8.wav]	Here you are. / Please take it.			georgian audio restaurant recognition
You hear: გემრიელად მიირთვით.<br>[sound:ge_essentials_practical-13af9ac5ad8b6c27.wav]	Enjoy your meal.	Reply: მადლობა.		georgian audio restaurant recognition
egg	კვერცხი<br>[sound:ge_essentials_practical-54fdc00ae9f0ba0f.wav]			georgian audio food
butter	კარაქი<br>[sound:ge_essentials_practical-8fd2728e13d44087.wav]			georgian audio food
beef	საქონლის ხორცი<br>[sound:ge_essentials_practical-e91c5f975c1b0dc7.wav]			georgian audio food
pork	ღორის ხორცი<br>[sound:ge_essentials_practical-8ee83f0fd21d6ffd.wav]			georgian audio food
fish	თევზი<br>[sound:ge_essentials_practical-1b8bb6e7e748fb1e.wav]			georgian audio food
potato	კარტოფილი<br>[sound:ge_essentials_practical-4a73d83995f0f862.wav]			georgian audio food
onion	ხახვი<br>[sound:ge_essentials_practical-8deaeee9e1470d3c.wav]			georgian audio food
garlic	ნიორი<br>[sound:ge_essentials_practical-51e535e0cccbe637.wav]	ნიორი garlic, ნიგოზი walnut.		georgian audio food
